state,county,fips,population,date,cases,deaths,stay at home order,Mandatory Quarantine for Travelers,NonNoEssential Business Closures,Large Gatherings Ban,StateNoMandated School Closures,Bar/Restaurant Limits,Primary Election Postponement,Emergency Declaration
Alabama,Baldwin,1003,223234,3/21/2020,2,0,Statewide,No,All NonNoEssential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes
Alabama,Bibb,1007,22394,4/6/2020,7,0,Statewide,No,All NonNoEssential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes
Alabama,Covington,28031,37049,4/4/2020,4,0,Statewide,No,All NonNoEssential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes
Alabama,Bullock,1011,10101,4/9/2020,4,0,Statewide,No,All NonNoEssential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes
Alabama,Crenshaw,1041,13772,4/9/2020,2,0,Statewide,No,All NonNoEssential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes
Alabama,DeKalb,18033,71513,3/27/2020,1,0,Statewide,No,All NonNoEssential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes
Alabama,Calhoun,12013,113605,4/1/2020,1,0,Statewide,No,All NonNoEssential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes
Alabama,Dallas,19049,37196,3/16/2020,1,0,Statewide,No,All NonNoEssential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes
Alabama,Chilton,1021,44428,4/8/2020,22,0,Statewide,No,All NonNoEssential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes
Alabama,DeKalb,13089,71513,3/11/2020,4,0,Statewide,No,All NonNoEssential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes
Alabama,Calhoun,17013,113605,4/6/2020,1,0,Statewide,No,All NonNoEssential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes
Alabama,Russell,1113,57961,3/28/2020,1,0,Statewide,No,All NonNoEssential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes
Alabama,Cleburne,1029,14910,4/1/2020,6,0,Statewide,No,All NonNoEssential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes
Alabama,Coffee,1031,52342,4/6/2020,8,0,Statewide,No,All NonNoEssential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes
Alabama,Colbert,1033,55241,4/8/2020,7,1,Statewide,No,All NonNoEssential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes
Alabama,Coosa,1037,10663,4/9/2020,10,0,Statewide,No,All NonNoEssential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes
Alabama,Covington,1039,37049,4/3/2020,4,0,Statewide,No,All NonNoEssential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes
Alabama,Dallas,48113,37196,3/12/2020,8,0,Statewide,No,All NonNoEssential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes
Alabama,Cullman,1043,83768,4/3/2020,15,1,Statewide,No,All NonNoEssential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes
Alabama,Dallas,1047,37196,3/27/2020,2,0,Statewide,No,All NonNoEssential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes
Alabama,DeKalb,1049,71513,3/28/2020,4,0,Statewide,No,All NonNoEssential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes
Alabama,Bibb,13021,22394,3/26/2020,8,0,Statewide,No,All NonNoEssential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes
Alabama,Chambers,48071,33254,3/31/2020,8,0,Statewide,No,All NonNoEssential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes
Alabama,Etowah,1055,102268,4/8/2020,47,4,Statewide,No,All NonNoEssential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes
Alabama,Pickens,13227,19930,3/24/2020,4,0,Statewide,No,All NonNoEssential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes
Alabama,DeKalb,47041,71513,3/26/2020,2,0,Statewide,No,All NonNoEssential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes
Alabama,Hale,48189,14651,4/1/2020,1,0,Statewide,No,All NonNoEssential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes
Alabama,Hale,1065,14651,4/6/2020,5,0,Statewide,No,All NonNoEssential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes
Alabama,Sumter,1119,12427,4/2/2020,4,0,Statewide,No,All NonNoEssential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes
Alabama,Talladega,1121,79978,4/1/2020,8,0,Statewide,No,All NonNoEssential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes
Alabama,Mobile,1097,413210,4/2/2020,69,4,Statewide,No,All NonNoEssential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes
Alabama,Tuscaloosa,1125,209355,3/27/2020,22,0,Statewide,No,All NonNoEssential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes
Alabama,Baldwin,13009,223234,3/28/2020,2,0,Statewide,No,All NonNoEssential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes
Alabama,Winston,28159,23629,3/26/2020,3,0,Statewide,No,All NonNoEssential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes
Alabama,Elmore,16039,81209,4/6/2020,12,0,Statewide,No,All NonNoEssential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes
Alabama,Pickens,1107,19930,3/29/2020,2,0,Statewide,No,All NonNoEssential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes
Alabama,Limestone,48293,98915,4/1/2020,2,0,Statewide,No,All NonNoEssential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes
Alabama,Autauga,1001,55869,4/7/2020,12,1,Statewide,No,All NonNoEssential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes
Alabama,Pickens,45077,19930,3/24/2020,1,0,Statewide,No,All NonNoEssential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes
Alabama,Tallapoosa,1123,40367,4/6/2020,31,1,Statewide,No,All NonNoEssential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes
