fips,population,date,cases,deaths
45001,24527,4/7/2020,5,0
51001,32316,4/4/2020,8,0
16001,481587,3/27/2020,76,0
19001,25343,3/20/2020,1,0
18001,65435,3/11/2020,1,0
50001,36777,4/3/2020,32,0
45003,170872,4/3/2020,22,1
12001,269043,3/24/2020,37,0
37001,169509,4/6/2020,18,0
6001,1671329,3/15/2020,37,0
36001,305506,3/13/2020,2,0
51003,109330,4/4/2020,27,0
37003,37497,4/6/2020,2,0
19005,13687,3/29/2020,7,1
26005,118081,4/4/2020,10,0
36003,46091,3/22/2020,2,0
37005,14860,4/1/2020,2,0
42003,1216045,3/28/2020,219,2
21003,21315,3/24/2020,1,0
6005,39752,4/3/2020,2,0
51007,13145,4/9/2020,8,0
51009,31605,4/5/2020,6,0
28005,12297,4/9/2020,10,1
47001,7858,3/21/2020,1,0
23001,108277,3/26/2020,5,0
48005,86715,4/9/2020,15,0
24003,579234,3/27/2020,63,1
27003,356921,3/24/2020,7,0
4001,71887,4/4/2020,20,0
19007,12426,4/9/2020,1,1
8005,656590,3/23/2020,58,0
51013,236842,3/25/2020,46,0
42005,64735,3/31/2020,5,0
39005,15562,3/25/2020,1,0
39007,97241,4/3/2020,9,0
48013,51153,4/8/2020,5,0
20005,16073,4/1/2020,1,0
39009,65327,4/9/2020,3,1
34001,263670,4/1/2020,40,0
28007,18174,4/4/2020,14,0
48015,30032,4/8/2020,6,0
1001,55869,4/7/2020,12,1
12003,3038,3/19/2020,1,0
1003,223234,3/21/2020,2,0
24005,827370,3/25/2020,51,1
16005,87808,4/7/2020,5,0
54001,16441,4/5/2020,3,0
25001,212990,3/28/2020,133,2
13013,83240,4/5/2020,25,2
26015,61550,3/27/2020,1,0
18005,83779,3/30/2020,10,0
20009,25779,4/7/2020,3,0
13015,107738,3/25/2020,82,1
48021,88723,4/3/2020,10,0
29013,16172,4/4/2020,3,0
21011,4147,4/9/2020,1,0
26017,103126,3/20/2020,1,0
55007,15036,4/2/2020,3,0
46005,18453,3/24/2020,13,0
37013,192122,3/30/2020,3,0
42007,5311,3/18/2020,2,0
47003,78997,3/26/2020,1,0
33001,61303,4/1/2020,13,0
48027,362924,3/20/2020,2,0
39013,67006,3/28/2020,8,0
13017,16700,4/7/2020,6,0
50003,35470,3/21/2020,4,0
41003,16160,3/16/2020,1,0
34003,932202,3/18/2020,133,4
54003,119171,3/26/2020,4,0
42011,421164,4/1/2020,151,0
25003,124944,3/21/2020,21,0
35001,679121,3/25/2020,48,0
13019,19397,4/4/2020,3,0
37015,18947,4/8/2020,10,1
48029,2003554,2/26/2020,10,0
1007,22394,4/1/2020,3,0
27011,4991,4/6/2020,1,0
16011,46811,4/3/2020,2,0
19013,131228,3/31/2020,7,0
16013,465,3/17/2020,4,0
42013,121829,4/9/2020,6,0
48031,11931,4/8/2020,4,0
1009,133088,3/26/2020,3,0
27013,67653,3/30/2020,9,0
28011,30628,4/1/2020,25,1
29017,12133,4/9/2020,3,0
46009,6901,3/25/2020,1,0
18011,180463,3/11/2020,1,0
51023,33419,4/4/2020,14,0
8013,326196,3/28/2020,84,1
20011,14534,3/26/2020,1,0
48037,93245,3/30/2020,4,0
49003,56046,4/1/2020,7,0
21019,46718,4/5/2020,20,1
12007,60323,3/27/2020,1,0
5011,10763,3/23/2020,1,0
48039,374264,3/28/2020,52,0
48041,229211,3/31/2020,46,2
21025,12630,4/9/2020,2,0
12009,601942,3/31/2020,37,0
25005,48479,3/18/2020,5,0
30007,6237,4/2/2020,3,0
46011,35077,4/7/2020,6,0
13027,7093,4/5/2020,6,0
36007,190488,3/28/2020,23,3
8014,70465,4/3/2020,36,2
12011,1952778,3/20/2020,128,2
48049,9564,3/20/2020,1,0
51025,142820,4/2/2020,1,0
40013,39627,4/1/2020,1,0
51027,21175,4/7/2020,1,0
42017,628270,3/25/2020,110,0
31019,13031,3/22/2020,2,0
1011,10101,4/9/2020,4,0
37021,261191,4/4/2020,27,1
37023,2115,3/26/2020,2,0
38015,95626,3/31/2020,30,0
34005,445349,3/24/2020,42,0
48053,48155,4/8/2020,5,0
20015,187853,3/14/2020,1,0
6007,2597,3/24/2020,4,0
13035,24936,4/5/2020,12,0
37025,216453,3/26/2020,16,1
49005,128289,4/1/2020,7,0
22017,28762,3/17/2020,4,0
6009,45905,4/7/2020,5,0
48055,12747,3/29/2020,1,0
50005,29993,4/7/2020,8,0
1015,14105,3/18/2020,1,0
29027,44743,4/6/2020,19,1
21035,39001,4/3/2020,5,0
55015,50089,4/2/2020,3,0
24009,92525,4/2/2020,22,0
42021,130192,4/6/2020,7,0
34007,10867,3/9/2020,1,0
42023,4447,4/2/2020,1,0
47013,1376,3/16/2020,1,0
40017,148306,3/30/2020,15,0
47015,14678,4/9/2020,7,0
16027,229849,4/3/2020,89,1
29031,78871,4/7/2020,20,1
34009,92039,4/2/2020,34,0
42025,14800,3/25/2020,1,0
24011,30725,3/28/2020,1,0
19027,29791,3/13/2020,1,0
32510,55916,3/26/2020,4,0
40019,48111,3/26/2020,1,0
37031,69473,4/3/2020,14,0
27019,105089,3/22/2020,8,0
30013,81366,4/4/2020,11,0
31025,12147,3/13/2020,1,0
16031,24030,4/7/2020,5,1
48069,7530,4/4/2020,10,1
37035,159551,4/4/2020,16,1
13047,67580,4/6/2020,6,0
36011,76576,4/6/2020,11,1
24015,102855,4/5/2020,36,1
29039,8402,4/2/2020,3,0
42027,162385,4/3/2020,32,0
19033,42450,4/5/2020,10,0
8015,20356,4/4/2020,21,2
48071,43837,3/26/2020,2,0
39021,38885,3/28/2020,2,0
24017,163257,3/27/2020,17,0
51036,6963,4/2/2020,4,0
46023,9292,3/24/2020,1,0
45019,411406,3/20/2020,6,1
26029,26143,3/27/2020,4,0
12015,188910,3/14/2020,1,0
13049,13392,3/24/2020,1,0
37037,74470,3/13/2020,1,0
13055,24789,4/5/2020,3,0
20019,3250,4/4/2020,3,0
35005,64615,4/6/2020,14,0
47021,40667,4/1/2020,11,0
53007,77200,3/18/2020,3,1
36015,83456,4/7/2020,49,0
36017,47207,4/1/2020,26,0
13057,52646,3/9/2020,1,0
33005,76085,4/3/2020,9,0
47023,524989,3/24/2020,1,0
45025,45650,3/27/2020,4,0
28017,17103,3/25/2020,6,0
5017,10118,4/9/2020,4,0
1021,44428,4/8/2020,22,0
55017,11800,3/23/2020,1,0
27025,56579,4/3/2020,4,1
50007,163774,3/25/2020,55,6
40023,8210,3/28/2020,1,0
21047,70461,3/21/2020,1,0
35006,26675,4/7/2020,15,0
12017,149657,3/29/2020,16,1
41005,418187,3/26/2020,21,2
28021,31959,4/1/2020,1,0
53009,77331,4/2/2020,8,0
26035,30950,4/3/2020,2,0
45027,33745,4/3/2020,34,1
53011,2266715,3/6/2020,1,0
28023,15541,3/30/2020,1,0
41007,40224,4/7/2020,5,0
12019,219252,3/12/2020,1,0
19043,292256,4/1/2020,2,0
8019,9700,3/27/2020,3,0
42033,79255,4/7/2020,7,0
27029,8756,4/4/2020,2,0
1029,14910,3/28/2020,4,0
39025,206428,4/4/2020,20,1
40027,7956,3/17/2020,1,0
13065,6618,4/5/2020,2,0
17027,46429,3/16/2020,1,0
28027,22124,4/1/2020,22,0
13067,760141,3/21/2020,56,5
4003,125922,4/4/2020,7,0
47029,36004,4/4/2020,1,0
4005,143476,4/1/2020,85,3
46029,28009,4/6/2020,11,0
47031,52342,3/31/2020,1,0
1033,55241,4/8/2020,7,1
29051,76745,4/1/2020,24,0
31037,11941,4/8/2020,3,0
45029,37677,4/4/2020,9,0
12021,384902,3/24/2020,41,0
48085,1034730,3/23/2020,45,1
13071,45600,4/7/2020,70,5
53013,52354,3/13/2020,1,0
39029,101883,4/3/2020,28,3
48091,156209,4/7/2020,22,2
48093,120749,4/5/2020,1,0
6013,1153526,3/17/2020,34,0
5029,20846,4/7/2020,4,1
17031,5463,1/28/2020,1,0
29053,17709,4/8/2020,2,0
1037,10663,4/9/2020,10,0
28029,28065,3/27/2020,8,0
36023,47581,4/5/2020,14,0
48099,75951,4/8/2020,11,0
39031,36600,3/31/2020,5,0
28031,37049,3/31/2020,2,0
13077,148509,3/28/2020,20,2
53015,110593,4/3/2020,18,0
