state,county,fips,population,pop_density,date,cases,case_ratio,deaths,deaths_ratio,Median AQI in 2019,stay at home order,Mandatory Quarantine for Travelers,NonNoEssential Business Closures,Large Gatherings Ban,StateNoMandated School Closures,Bar/Restaurant Limits,Primary Election Postponement,Emergency Declaration,Total.x,ar_Under_1_years_White,ar_1_to_9_years_White,ar_10_to_14_years_White,ar_15_to_17_years_White,ar_18_and_19_years_White,ar_20_to_24_years_White,ar_25_to_29_years_White,ar_30_to_34_years_White,ar_35_to_44_years_White,ar_45_to_54_years_White,ar_55_to_64_years_White,ar_65_to_74_years_White,ar_75_to_84_years_White,ar_85_years_and_over_White,ar_Under_1_years_Black,ar_1_to_9_years_Black,ar_10_to_14_years_Black,ar_15_to_17_years_Black,ar_18_and_19_years_Black,ar_20_to_24_years_Black,ar_25_to_29_years_Black,ar_30_to_34_years_Black,ar_35_to_44_years_Black,ar_45_to_54_years_Black,ar_55_to_64_years_Black,ar_65_to_74_years_Black,ar_75_to_84_years_Black,ar_85_years_and_over_Black,ar_Under_1_years_Native,ar_1_to_9_years_Native,ar_10_to_14_years_Native,ar_15_to_17_years_Native,ar_18_and_19_years_Native,ar_20_to_24_years_Native,ar_25_to_29_years_Native,ar_30_to_34_years_Native,ar_35_to_44_years_Native,ar_45_to_54_years_Native,ar_55_to_64_years_Native,ar_65_to_74_years_Native,ar_75_to_84_years_Native,ar_85_years_and_over_Native,ar_Under_1_years_Asian,ar_1_to_9_years_Asian,ar_10_to_14_years_Asian,ar_15_to_17_years_Asian,ar_18_and_19_years_Asian,ar_20_to_24_years_Asian,ar_25_to_29_years_Asian,ar_30_to_34_years_Asian,ar_35_to_44_years_Asian,ar_45_to_54_years_Asian,ar_55_to_64_years_Asian,ar_65_to_74_years_Asian,ar_75_to_84_years_Asian,ar_85_years_and_over_Asian,ar_Under_1_years_PI,ar_1_to_9_years_PI,ar_10_to_14_years_PI,ar_15_to_17_years_PI,ar_18_and_19_years_PI,ar_20_to_24_years_PI,ar_25_to_29_years_PI,ar_30_to_34_years_PI,ar_35_to_44_years_PI,ar_45_to_54_years_PI,ar_55_to_64_years_PI,ar_65_to_74_years_PI,ar_75_to_84_years_PI,ar_85_years_and_over_PI,ar_Under_1_years_Hispanic,ar_1_to_9_years_Hispanic,ar_10_to_14_years_Hispanic,ar_15_to_17_years_Hispanic,ar_18_and_19_years_Hispanic,ar_20_to_24_years_Hispanic,ar_25_to_29_years_Hispanic,ar_30_to_34_years_Hispanic,ar_35_to_44_years_Hispanic,ar_45_to_54_years_Hispanic,ar_55_to_64_years_Hispanic,ar_65_to_74_years_Hispanic,ar_75_to_84_years_Hispanic,ar_85_years_and_over_Hispanic,ar_Under_1_years_With_a_disability,ar_Under 5 years_ With a disability,ar_5 to 17 years_ With a disability,ar_18_to_34_years_With_a_disability,ar_35_to_64_years_With_a_disability,ar_65_to_74_years_With_a_disability,ar_75_years_and_over_With_a_disability,Some other race alone,Car truck or van,Car truck or van_Drove alone,Car truck or van_Carpooled,Car truck or van_Carpooled_In 2_person carpool,Car truck or van_Carpooled_In 3_person carpool,Car truck or van_Carpooled_In 4_person carpool,Car truck or van_Carpooled_In 5_ or 6_person carpool,Car truck or van_Carpooled_In 7_or_more_person carpool,Motorcycle,Bicycle,Walked,Other means,Worked at home,Family households,Family households_Married_couple family,Family households_Other family,Family households_Other family_Male householder no wife present,Family households_Other family_Female householder no husband present,Nonfamily households,Nonfamily households_Householder living alone,Nonfamily households_Householder not living alone
Alabama,Autauga,1001,55869,93,4/7/2020,12,0.021479,1,0.00179,,Statewide,No,All NonNoEssential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes,42437,6.522609987,6.692273252,6.056036006,4.378254825,2.276315479,5.697858001,5.867521267,6.310530905,13.22902184,14.5816151,12.59749747,8.50672762,4.255720244,1.479840705,1.753187077,2.516671772,1.352593256,1.390296204,0.763484695,1.574098075,1.852157316,1.58823668,3.190611966,3.011522963,2.643919221,1.296038834,0.598534298,0.15552466,0.075405896,0,0.018851474,0,0,0,0,0,0.023564342,0.160237529,0,0,0,0,0,0,0.141386055,0.014138605,0,0.49956406,0,0,0.207366213,0.150811792,0.089544501,0,0,0,0,0,0,0,0,0,0,0,0,0.023564342,0,0,0,0,1.055682541,0,0.245069161,0.174376134,0.084831633,0.179089003,0.254494898,0.636237246,0.730494616,0.141386055,0.367603742,0.014138605,0,0,0,0,3.317859415,2.323444164,9.703796216,4.260433113,3.652473078,0.740942,42.108696,38.289855,3.818841,3.123188,0.485507,0.11413,0.076087,0.019928,0.076087,0.025362,0.277174,0.496377,1.222826,27.46558,21.717391,5.748188,1.391304,4.356884,10.786232,9.606884,1.179348
Alabama,Baldwin,1003,223234,128,3/21/2020,2,0.000896,0,0,40,Statewide,No,All NonNoEssential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes,179526,5.406459232,5.27277386,6.861401691,3.755444894,1.994140125,5.024341878,5.386406426,5.482214275,11.73534753,13.47994162,13.79967247,12.02722725,6.077114178,1.550750309,0.787629647,0.603812261,1.199826209,0.512460591,0.448960039,0.720786961,0.895691989,0.735269543,1.217650925,1.215422836,1.19314194,0.669540902,0.249546027,0.054588193,0,0.008912358,0.010026403,0.090237626,0.077983133,0.104720208,0.043447746,0.013368537,0.128115148,0.067956731,0.160422446,0.096921894,0.059044372,0.013368537,0,0.052360104,0,0.090237626,0,0,0.015596627,0.028965164,0.144825819,0.197185923,0.013368537,0.052360104,0.013368537,0.008912358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.618294843,0.485723516,0.624979112,0.178247162,0.118088745,0.314160623,0.520258904,0.474583069,0.758664483,0.695163932,0.358722413,0.232835355,0.022280895,0,0.061272462,0.061272462,1.150808239,1.61647895,6.050377104,3.814489266,3.738734222,0.977382,40.287929,37.024704,3.263225,2.507845,0.507431,0.127338,0.104754,0.015857,0.062468,0.025468,0.305612,0.514159,2.694287,24.679131,19.9186,4.760532,1.163824,3.596707,13.100472,11.481113,1.619359
Alabama,Barbour,1005,24686,30,,,,,,,Statewide,No,All NonNoEssential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes,12216,4.125736739,4.109364768,5.271774722,3.438113949,1.686313032,5.828421742,7.400130976,6.7616241,14.57105435,15.5697446,14.99672561,13.57236411,7.383759005,1.031434185,5.484610347,6.204977079,8.185985593,4.322200393,2.373935822,9.020956123,10.5108055,9.823182711,14.11263916,13.62148003,11.8205632,7.351015062,2.472167649,0.753110675,0,0,0,0,0,0,0,0,0.622134905,0.40929928,0.147347741,0,0,0,0.049115914,0,0,0,0,0,0,0,0.049115914,0.212835625,0.311067453,0.081859856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.620825147,0.671250819,1.391617551,0.343811395,0,0.425671251,1.309757695,1.948264571,1.555337263,0.769482646,0.605762934,0.27832351,0,0,0.196463654,0.196463654,3.896529142,3.110674525,13.81794368,7.334643091,8.235101506,3.017609,31.203941,27.608409,3.595532,2.323326,0.399504,0.352959,0.232721,0.287022,0.310294,0,0.705919,0.38011,0.430533,23.388411,15.157862,8.230548,1.342022,6.888527,12.241098,11.597238,0.64386
Alabama,Bibb,1007,22394,37,4/1/2020,3,0.013396,0,0,,Statewide,No,All NonNoEssential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes,17268,5.709983785,6.949270327,5.362520269,4.053741024,2.420662497,5.941626129,6.451239287,6.752374334,13.59740561,15.74009729,13.15728515,10.00694927,4.702339588,0.868658791,2.304841325,0.486448923,2.582812138,2.084781098,2.721797545,1.99212416,3.868427148,4.771832291,4.667593236,5.709983785,2.687051193,2.779708131,0,0.370627751,0,0,0,0,0,0,0,0,0,0.092656938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.185313875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.440120454,0,0.057910586,0.150567524,0.370627751,0.301135047,0.185313875,0.393791985,0.28955293,0.41695622,0.440120454,0.162149641,0.034746352,0.057910586,0.092656938,0.092656938,1.4130183,1.806810285,7.169330554,3.578874218,3.729441742,0.039952,33.688463,29.950726,3.737737,3.542416,0.195321,0,0,0,0.044391,0,0.195321,0.257469,0.923336,21.960314,16.09624,5.864074,1.717938,4.146136,8.403249,7.883873,0.519377
Alabama,Blount,1009,57826,89,3/26/2020,3,0.002254,0,0,,Statewide,No,All NonNoEssential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes,55054,5.885130962,5.605405602,7.345515312,4.297598721,2.532059433,5.743451884,5.877865369,5.892396556,12.41326697,14.04075998,12.81287463,10.12460493,4.64998002,1.362298834,0.232499001,0.04722636,0.1162495,0,0.159843063,0.145311876,0,0.036327969,0.225233407,0.319686126,0.247030189,0.138046282,0.043593563,0.010898391,0,0,0,0,0,0.007265594,0,0,0,0,0.029062375,0.003632797,0,0.04722636,0,0.123515094,0,0,0.018163984,0.025429578,0.04722636,0.036327969,0.054491953,0.007265594,0,0.010898391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.035347114,0.871871254,1.315072474,0.494060377,0.486794783,0.603044284,0.788316925,0.92273041,1.529407491,1.100737458,0.497693174,0.468630799,0.025429578,0,0.025429578,0.025429578,0.781051331,0.904566426,6.956806045,3.861663094,2.775456824,0.758088,35.434123,31.615925,3.818198,2.848469,0.60543,0.163067,0.100616,0.100616,0.041634,0,0.06939,0.260213,0.827479,26.201752,20.716454,5.485298,2.055686,3.429612,9.534218,8.829907,0.704311
Alabama,Bullock,1011,10101,17,4/9/2020,4,0.0396,0,0,,Statewide,No,All NonNoEssential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes,2276,4.130052724,1.230228471,2.460456942,6.942003515,2.021089631,18.27768014,8.34797891,1.142355009,16.16871705,22.40773286,20.56239016,15.8172232,6.942003515,0.439367311,23.7258348,30.228471,19.24428822,8.787346221,21.88049209,19.59578207,29.08611599,23.98945518,63.88400703,42.61862917,43.58523726,28.82249561,8.172231986,0,0,0,0,2.811950791,0,0,0,0,0,0,4.042179262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.263620387,0,0,0,0,0,0,0,0,0,0,0,0,6.766256591,7.117750439,32.42530756,17.92618629,6.590509666,0.0483,34.795209,30.090804,4.704405,3.313369,0.280139,0,0,1.110896,0,0,2.221793,0,1.043277,23.966383,13.601236,10.365147,1.835394,8.529753,10.896445,10.326507,0.569938
Alabama,Butler,1013,19448,27,,,,,,,Statewide,No,All NonNoEssential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes,10414,4.993278279,6.145573267,5.53101594,3.149606299,1.84367198,5.012483196,4.87804878,4.705204532,10.6203188,12.15671212,15.84405608,12.44478587,5.050893029,2.49663914,5.915114269,6.548876512,7.10581909,4.666794699,2.573458805,5.627040522,5.396581525,5.050893029,8.815056655,8.238909161,9.141540234,6.222392933,1.824467064,1.401958901,0,0,0,0,0,0,0,0,0,0.019204916,0.019204916,0,0,0,0,0,0.710581909,0,0,0,0.998655656,0.26886883,1.594008066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.422508162,0,0,0,0,0,0,0,0,2.17015556,2.976762051,14.1156136,6.203188016,6.510466679,0,37.36829,32.524345,4.843945,3.890137,0.669164,0.184769,0.099875,0,0,0,0.359551,0.459426,0.609238,22.117353,14.911361,7.205993,1.018727,6.187266,11.380774,10.217228,1.163546
Alabama,Calhoun,1015,113605,192,3/18/2020,1,0.00709,0,0,,Statewide,No,All NonNoEssential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes,85558,5.102971084,5.455948012,6.25540569,3.892096589,2.328245167,5.921129526,6.568643493,5.858014446,12.03394189,13.39909769,13.79648893,10.25503167,4.85284836,1.250613619,1.809298955,1.767222235,1.923841137,1.252951214,1.08698193,2.440449753,1.984618621,1.648004862,3.055237383,2.966408752,3.225881858,1.708782346,0.575048505,0.158956497,0,0,0.051427102,0.051427102,0,0,0,0.030388742,0.02103836,0.009350382,0.077140653,0.102854204,0,0,0.039739124,0.074803058,0.088828631,0.030388742,0,0.051427102,0.177657262,0,0.032726338,0.254797915,0,0.112204586,0.023375955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364664906,0.827508824,0.331938568,0.376352883,0.301549826,0.390378457,0.301549826,0.479207088,0.726992216,0.493232661,0.275836275,0.119217373,0.098179013,0,0.156618902,0.156618902,2.929007223,2.583043082,13.14897496,4.974403329,3.536782066,1.477871,38.654885,34.739961,3.914925,2.929677,0.48828,0.300613,0.0669,0.129455,0.072981,0,0.510869,0.341448,1.250239,26.788476,18.67539,8.113086,1.712454,6.400633,12.337313,10.484109,1.853203
Alabama,Chambers,1017,33254,57,,,,,,,Statewide,No,All NonNoEssential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes,19483,5.204537289,5.307190884,4.752861469,3.510752964,1.909356875,6.559564749,5.912847097,5.081352974,11.35348766,13.43735564,14.26884977,12.2568393,6.159215727,1.457681055,4.444900683,3.798183031,4.773392188,2.92562747,1.981214392,7.43212031,1.601396089,3.644202638,7.606631422,8.78714777,8.910332084,4.9479033,1.714315044,0.605656213,0,0,0,0,0,0,0,0.174511112,0.092388236,0.112918955,0,0,0.153980393,0.123184315,0,0,0,0,0,0.256633989,0.277164708,0.205307191,0.482471899,0.698044449,0.22583791,0.338756865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.523533337,0.44141046,0.544064056,0,0,1.324231381,0,0.400349022,1.067597393,0.492737258,0.287430067,0,0,0,0,0,0.821228764,2.525278448,12.57506544,6.169481086,4.331981728,0.517354,41.142908,36.282741,4.860167,4.242299,0.428664,0.038432,0,0.150772,0,0,0.269024,0.304499,0.762727,25.598652,16.889375,8.709277,2.317744,6.391533,14.358777,12.635251,1.723526
Alabama,Cherokee,1019,26196,43,,,,,,,Statewide,No,All NonNoEssential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes,23997,4.858940701,5.033962579,6.000750094,3.908821936,1.975246906,5.367337584,5.584031337,4.167187565,11.3264158,14.6768346,15.29357836,13.20165021,6.500812602,1.041796891,0.316706255,0.275034379,0.61674376,0.058340626,0.133350002,0.61674376,0.29170313,0.075009376,0.516731258,0.791765637,0.775096887,0.433387507,0.458390632,0,0.408384381,0,0,0.400050006,0,0.025003125,0,0,0,0,0.133350002,0,0.041671876,0,0,0.083343751,0,0,0,0,0.108346877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141684377,0,0,0.133350002,0,0,0.29170313,0,0.550068759,0.108346877,0.141684377,0,0,0,0,0,1.833562529,3.167062549,7.767637621,4.975621953,3.425428179,0.348122,36.100259,31.091169,5.00909,3.883495,0.638224,0.29397,0.03868,0.154721,0,0,0.112173,0.456427,0.653696,28.360345,23.447956,4.912389,0.970874,3.941515,12.663907,11.596333,1.067574
