county,state,fips,date,cases,deaths,population
Alachua,Florida,12001,2020-03-24,37,0,269043
Baker,Florida,12003,2020-03-29,8,0,29210
Bay,Florida,12005,2020-04-04,23,1,174705
Bradford,Florida,12007,2020-04-05,7,0,28201
Brevard,Florida,12009,2020-03-31,37,0,601942
Broward,Florida,12011,2020-03-20,128,2,1952778
Charlotte,Florida,12015,2020-03-21,2,0,188910
Citrus,Florida,12017,2020-03-29,16,1,149657
Clay,Florida,12019,2020-03-26,20,4,219252
Collier,Florida,12021,2020-03-24,41,0,384902
Columbia,Florida,12023,2020-04-05,13,0,71686
DeSoto,Florida,12027,2020-04-05,12,2,38001
Duval,Florida,12031,2020-03-26,82,3,957755
Escambia,Florida,12033,2020-03-30,81,0,318316
Flagler,Florida,12035,2020-04-05,31,1,115081
Gadsden,Florida,12039,2020-04-08,8,0,45660
Hernando,Florida,12053,2020-04-02,34,0,193920
Highlands,Florida,12055,2020-04-04,30,2,106221
Hillsborough,Florida,12057,2020-03-15,6,0,1471968
Indian River,Florida,12061,2020-04-02,41,0,159923
Jackson,Florida,12063,2020-04-02,4,0,46414
Lake,Florida,12069,2020-03-30,50,0,367118
Lee,Florida,12071,2020-03-20,14,2,770577
Leon,Florida,12073,2020-04-01,32,0,293582
Manatee,Florida,12081,2020-03-15,4,0,403253
Marion,Florida,12083,2020-04-04,42,0,365579
Martin,Florida,12085,2020-04-02,34,0,161000
Miami-Dade,Florida,12086,2020-03-25,489,0,2716940
Monroe,Florida,12087,2020-04-03,40,1,74228
Nassau,Florida,12089,2020-03-24,1,0,88625
Okaloosa,Florida,12091,2020-03-21,12,0,210738
Orange,Florida,12095,2020-03-27,174,4,1393452
Osceola,Florida,12097,2020-03-27,56,0,375751
Palm Beach,Florida,12099,2020-03-26,172,3,1496770
Pasco,Florida,12101,2020-03-24,16,1,553947
Pinellas,Florida,12103,2020-03-24,45,1,974996
Polk,Florida,12105,2020-03-31,73,1,724777
Putnam,Florida,12107,2020-04-04,18,1,74521
St. Johns,Florida,12109,2020-03-25,28,1,264672
St. Lucie,Florida,12111,2020-04-04,76,3,328297
Santa Rosa,Florida,12113,2020-03-19,1,1,184313
Sarasota,Florida,12115,2020-03-26,34,2,433742
Seminole,Florida,12117,2020-03-26,40,0,471826
Sumter,Florida,12119,2020-04-01,57,0,132420
Volusia,Florida,12127,2020-03-21,11,0,553284
Walton,Florida,12131,2020-04-01,18,0,74071
Washington,Florida,12133,2020-04-09,3,0,25473
