State Name,County Name,Total,Male,Male: Under 5 years,Male: 5 to 9 years,Male: 10 to 14 years,Male: 15 to 17 years,Male: 18 and 19 years,Male: 20 to 24 years,Male: 25 to 29 years,Male: 30 to 34 years,Male: 35 to 44 years,Male: 45 to 54 years,Male: 55 to 64 years,Male: 65 to 74 years,Male: 75 to 84 years,Male: 85 years and over,Female,Female: Under 5 years,Female: 5 to 9 years,Female: 10 to 14 years,Female: 15 to 17 years,Female: 18 and 19 years,Female: 20 to 24 years,Female: 25 to 29 years,Female: 30 to 34 years,Female: 35 to 44 years,Female: 45 to 54 years,Female: 55 to 64 years,Female: 65 to 74 years,Female: 75 to 84 years,Female: 85 years and over,Male: Under 5 years: With a disability,Male: Under 5 years: No disability,Male: 5 to 17 years,Male: 5 to 17 years: With a disability,Male: 5 to 17 years: No disability,Male: 18 to 34 years,Male: 18 to 34 years: With a disability,Male: 18 to 34 years: No disability,Male: 35 to 64 years,Male: 35 to 64 years: With a disability,Male: 35 to 64 years: No disability,Male: 65 to 74 years: With a disability,Male: 65 to 74 years: No disability,Male: 75 years and over,Male: 75 years and over: With a disability,Male: 75 years and over: No disability,Female: Under 5 years: With a disability,Female: Under 5 years: No disability,Female: 5 to 17 years,Female: 5 to 17 years: With a disability,Female: 5 to 17 years: No disability,Female: 18 to 34 years,Female: 18 to 34 years: With a disability,Female: 18 to 34 years: No disability,Female: 35 to 64 years,Female: 35 to 64 years: With a disability,Female: 35 to 64 years: No disability,Female: 65 to 74 years: With a disability,Female: 65 to 74 years: No disability,Female: 75 years and over,Female: 75 years and over: With a disability,Female: 75 years and over: No disability
Alabama,Autauga County,42437,20890,1384,1420,1285,929,483,1209,1245,1339,2807,3094,2673,1805,903,314,21547,1068,1583,1243,926,420,1176,1434,1272,2727,3169,2750,2117,1261,401,0,1789,5031,704,4327,5565,493,5072,10307,2059,8248,904,1171,1392,775,617,0,1474,5075,501,4574,5830,553,5277,11292,2240,9052,1086,1536,1825,1150,675
Alabama,Baldwin County,179526,87836,4853,4733,6159,3371,1790,4510,4835,4921,10534,12100,12387,10796,5455,1392,91690,4710,5047,5055,3203,1739,4227,5003,4977,10975,12646,13936,11972,5960,2240,55,5800,17187,1033,16154,18591,1451,17140,38888,5431,33457,3424,8173,6935,3356,3579,70,5684,16795,509,16286,19356,1249,18107,43030,5300,37730,3078,9737,8649,3907,4742
Alabama,Barbour County,12216,6459,252,251,322,210,103,356,452,413,890,951,916,829,451,63,5757,232,294,340,179,84,246,265,282,557,747,906,927,489,209,12,705,2057,238,1819,2426,190,2236,3830,844,2986,448,755,691,503,188,0,673,1989,218,1771,2328,330,1998,4420,1090,3330,461,1051,1036,744,292
Alabama,Bibb County,17268,8782,493,600,463,350,209,513,557,583,1174,1359,1136,864,406,75,8486,498,391,538,305,153,494,559,470,1029,1218,1152,926,474,279,8,684,1844,122,1722,2249,156,2093,3837,619,3218,309,749,513,322,191,0,583,1502,57,1445,2132,287,1845,4122,756,3366,224,764,948,552,396
Alabama,Blount County,55054,27137,1620,1543,2022,1183,697,1581,1618,1622,3417,3865,3527,2787,1280,375,27917,1503,1846,1795,1110,531,1517,1657,1579,3471,3809,3635,3165,1847,452,7,1806,5026,215,4811,5748,249,5499,11154,1915,9239,1063,1721,1650,764,886,0,1672,4957,114,4843,5524,252,5272,11286,1730,9556,886,2369,2300,919,1381
Alabama,Bullock County,2276,1444,47,14,28,79,23,208,95,13,184,255,234,180,79,5,832,0,0,65,9,38,21,10,28,109,109,150,147,102,44,0,317,819,77,742,1301,81,1220,2271,369,1902,204,281,172,75,97,0,279,735,48,687,803,69,734,1941,280,1661,108,360,387,130,257
Alabama,Butler County,10414,4940,260,320,288,164,96,261,254,245,553,633,825,648,263,130,5474,245,239,284,169,113,213,265,285,603,703,884,700,556,215,0,595,1806,113,1693,1868,155,1713,3439,735,2704,323,645,553,339,214,12,598,1555,55,1500,2059,118,1941,4130,819,3311,226,866,1059,597,462
Alabama,Calhoun County,85558,41483,2183,2334,2676,1665,996,2533,2810,2506,5148,5732,5902,4387,2076,535,44075,2184,2329,2320,1575,905,2528,2948,2581,5133,5797,6422,5212,2889,1252,67,3131,9522,1253,8269,12208,1105,11103,21316,5625,15691,2128,3087,2874,1513,1361,0,3364,8981,543,8438,12972,1161,11811,23064,5143,17921,2156,3952,4739,2904,1835
Alabama,Chambers County,19483,9466,507,517,463,342,186,639,576,495,1106,1309,1390,1194,600,142,10017,539,357,557,301,161,540,544,502,1129,1337,1557,1387,803,303,0,978,2595,80,2515,3426,246,3180,6435,1225,5210,601,1085,983,422,561,0,972,2461,57,2404,3415,194,3221,6940,1398,5542,632,1410,1500,715,785
Alabama,Cherokee County,23997,11871,583,604,720,469,237,644,670,500,1359,1761,1835,1584,780,125,12126,511,748,600,457,210,581,665,583,1374,1644,1873,1696,835,349,0,670,1983,220,1763,2262,380,1882,5210,932,4278,597,1040,938,411,527,3,531,2099,106,1993,2130,223,1907,5239,1076,4163,536,1216,1133,626,507
