state,county,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or more races,Two or more races: Two races including Some other race,Two or more races: Two races excluding Some other race and three or more races,Total_1,Car truck or van,Car truck or van: Drove alone,Car truck or van: Carpooled,Car truck or van: Carpooled: In 2-person carpool,Car truck or van: Carpooled: In 3-person carpool,Car truck or van: Carpooled: In 4-person carpool,Car truck or van: Carpooled: In 5- or 6-person carpool,Car truck or van: Carpooled: In 7-or-more-person carpool,Public transportation (excluding taxicab),Public transportation (excluding taxicab): Bus or trolley bus,Public transportation (excluding taxicab): Streetcar or trolley car (carro publico in Puerto Rico),Public transportation (excluding taxicab): Subway or elevated,Public transportation (excluding taxicab): Railroad,Public transportation (excluding taxicab): Ferryboat,Taxicab,Motorcycle,Bicycle,Walked,Other means,Worked at home,Total_2,Family households,Family households: Married-couple family,Family households: Other family,Family households: Other family: Male householder no wife present,Family households: Other family: Female householder no husband present,Nonfamily households,Nonfamily households: Householder living alone,Nonfamily households: Householder not living alone
Alabama,Autauga County,76.87862319,19.13949275,0.288043478,1.028985507,0.057971014,0.740942029,1.865942029,0.032608696,1.833333333,44.25362319,42.10869565,38.28985507,3.81884058,3.123188406,0.485507246,0.114130435,0.076086957,0.019927536,0.047101449,0.047101449,0,0,0,0,0,0.076086957,0.025362319,0.277173913,0.496376812,1.222826087,38.25181159,27.46557971,21.7173913,5.748188406,1.391304348,4.356884058,10.78623188,9.606884058,1.179347826
Alabama,Baldwin County,86.2661996,9.497037582,0.731354544,0.807277026,0.004324698,0.977381828,1.716424724,0.28975479,1.426669934,43.92932482,40.28792881,37.02470364,3.263225168,2.507844522,0.507431273,0.12733834,0.104753805,0.015857227,0.039402807,0.039402807,0,0,0,0,0,0.062467865,0.025467668,0.305612017,0.514158582,2.694287073,37.77960376,24.67913141,19.91859957,4.760531842,1.163824379,3.596707463,13.10047235,11.48111308,1.619359272
Alabama,Barbour County,47.38189434,47.5758281,0.279264603,0.372352804,0.003878675,3.017609185,1.369172291,0.085330851,1.28384144,33.11612753,31.20394073,27.60840897,3.595531766,2.323326352,0.39950353,0.352959429,0.232720503,0.287021953,0.085330851,0.085330851,0,0,0,0,0,0.310294004,0,0.705918858,0.380110154,0.43053293,35.62950896,23.38841052,15.15786207,8.230548445,1.342021565,6.888526879,12.24109844,11.59723838,0.643860057
Alabama,Bibb County,76.65468105,22.27549163,0.03551294,0.164247348,0,0.039952058,0.830114973,0,0.830114973,35.27322768,33.68846273,29.9507258,3.737736938,3.542415768,0.19532117,0,0,0,0.164247348,0.164247348,0,0,0,0,0,0.044391175,0,0.19532117,0.257468815,0.923336441,30.36356372,21.96031429,16.09624007,5.864074222,1.717938474,4.146135748,8.403249434,7.883872686,0.519376748
Alabama,Blount County,95.50524764,1.495359528,0.244600572,0.343481655,0.031225605,0.758088299,1.621996704,0.053777431,1.568219273,36.68661636,35.43412265,31.61592506,3.818197589,2.848469078,0.605429786,0.163067048,0.100615838,0.100615838,0.053777431,0,0.053777431,0,0,0,0,0.04163414,0,0.069390233,0.260213375,0.827478532,35.73597016,26.2017521,20.71645416,5.485297944,2.055685662,3.429612282,9.534218059,8.829907191,0.704310868
Alabama,Bullock County,21.98608964,76.24613601,1.178516229,0.540958269,0,0.048299845,0,0,0,38.06027821,34.79520866,30.09080371,4.704404946,3.313369397,0.280139104,0,0,1.110896445,0,0,0,0,0,0,0,0,0,2.22179289,0,1.043276662,34.86282844,23.96638331,13.60123648,10.36514683,1.835394127,8.529752705,10.89644513,10.32650696,0.569938176
Alabama,Butler County,52.00499376,45.2184769,0.009987516,1.153558052,0,0,1.61298377,0.04494382,1.56803995,38.79650437,37.36828964,32.52434457,4.843945069,3.890137328,0.669163546,0.184769039,0.099875156,0,0,0,0,0,0,0,0,0,0,0.359550562,0.459425718,0.609238452,33.49812734,22.11735331,14.9113608,7.205992509,1.018726592,6.187265918,11.38077403,10.21722846,1.163545568
Alabama,Calhoun County,74.33491459,20.57029662,0.306695164,0.925298441,0.007819423,1.477871032,2.377104728,0.175502615,2.201602113,40.96248414,38.6548854,34.73996073,3.914924673,2.929677318,0.488279553,0.30061339,0.066899512,0.129454899,0.132061374,0.118160177,0,0,0.013901197,0,0,0.072981286,0,0.510868999,0.341448157,1.250238927,39.12578846,26.78847591,18.67538967,8.11308624,1.712453735,6.400632504,12.33731255,10.48410919,1.853203357
Alabama,Chambers County,57.59770591,39.37503695,0.286761663,1.197303849,0,0.517353515,1.025838113,0,1.025838113,42.5589783,41.14290782,36.28274109,4.860166736,4.242298823,0.428664341,0.038431975,0,0.150771596,0.079820257,0.079820257,0,0,0,0,0,0,0,0.269023828,0.304499497,0.762726896,39.9574292,25.59865192,16.88937504,8.709276888,2.317743747,6.39153314,14.35877727,12.63525099,1.723526282
Alabama,Cherokee County,92.82094921,4.900785209,0.912853441,0.212741268,0,0.348122075,0.804548795,0,0.804548795,37.40765095,36.10025916,31.0911693,5.009089854,3.883495146,0.638223804,0.293969752,0.038680231,0.154720922,0.085096507,0.085096507,0,0,0,0,0,0,0,0.112172669,0.45642672,0.653695896,41.0242525,28.36034503,23.44795575,4.912389278,0.970873786,3.941515491,12.66390748,11.59633311,1.067574363
Alabama,Chilton County,83.31208741,9.44229456,0.279990895,0.43250626,0,4.229455953,2.303664921,0.220805827,2.082859094,39.16913271,37.62576827,32.73161848,4.894149784,3.17095379,1.265649898,0.412019121,0.011381744,0.034145231,0,0,0,0,0,0,0,0,0,0.175278853,0.391531983,0.976553608,38.13111769,27.14773503,19.60619167,7.541543364,2.201229228,5.340314136,10.98338265,9.499203278,1.484179376
Alabama,Choctaw County,56.74952199,42.75334608,0.068833652,0.099426386,0,0.061185468,0.267686424,0,0.267686424,31.57170172,30.02676864,25.93499044,4.091778203,2.638623327,0.573613767,0.183556405,0,0.695984704,0,0,0,0,0,0,0,0,0.030592734,0.458891013,0.47418738,0.58126195,40.91778203,26.84512428,17.7667304,9.078393881,1.674952199,7.403441683,14.07265774,13.10898662,0.963671128
Alabama,Clarke County,53.04055439,45.81539345,0.102513634,0.504367081,0,0,0.537171444,0.032804363,0.504367081,30.87300611,30.10620413,27.25632509,2.849879034,1.951859597,0.4428589,0.270635995,0.024603272,0.15992127,0.045105999,0,0,0,0,0.045105999,0,0,0.036904908,0.200926723,0.180423996,0.303440358,38.3729036,24.74269078,18.42375036,6.318940419,1.742731783,4.576208636,13.63021282,13.08073974,0.54947308
Alabama,Clay County,83.01689341,14.77799372,1.158618628,0.13454926,0,0.194348931,0.717596053,0.052324712,0.665271341,40.56660188,38.71281208,36.47032441,2.242487666,1.315592764,0.665271341,0.13454926,0.127074301,0,0,0,0,0,0,0,0,0,0,0.298998356,0.231723726,1.323067723,39.13888474,27.23127523,20.31693826,6.914336971,1.181043504,5.733293467,11.90760951,10.77141576,1.136193751
Alabama,Cleburne County,94.17592717,2.63087428,0.261079127,0.02008301,0,0.84348641,2.068550007,0.120498059,1.948051948,35.84817245,34.32855804,29.16722453,5.161333512,4.766367653,0.214218771,0.113803722,0.066943366,0,0.006694337,0.006694337,0,0,0,0,0,0,0,0.267773464,0.053554693,1.191591913,38.33177132,25.84013924,20.61186236,5.228276878,1.74722185,3.481055027,12.49163208,11.23979114,1.251840943
Alabama,Coffee County,75.89104664,17.21455311,1.203010451,1.298549368,0,1.255654344,3.137186086,0.019497738,3.117688348,43.42926221,41.2026205,37.60918733,3.593433162,2.881765715,0.561534862,0.126735299,0.023397286,0,0,0,0,0,0,0,0,0.159881454,0.165730775,0.372406801,0.374356575,1.154266105,38.58407425,26.48377788,19.9344876,6.549290282,1.456481048,5.092809234,12.10029637,10.66916238,1.431133988
