state,county,Total,Male,Male_ Under 5 years,Male_ 5 to 9 years,Male_ 10 to 14 years,Male_ 15 to 17 years,Male_ 18 and 19 years,Male_ 20 to 24 years,Male_ 25 to 29 years,Male_ 30 to 34 years,Male_ 35 to 44 years,Male_ 45 to 54 years,Male_ 55 to 64 years,Male_ 65 to 74 years,Male_ 75 to 84 years,Male_ 85 years and over,Female,Female_ Under 5 years,Female_ 5 to 9 years,Female_ 10 to 14 years,Female_ 15 to 17 years,Female_ 18 and 19 years,Female_ 20 to 24 years,Female_ 25 to 29 years,Female_ 30 to 34 years,Female_ 35 to 44 years,Female_ 45 to 54 years,Female_ 55 to 64 years,Female_ 65 to 74 years,Female_ 75 to 84 years,Female_ 85 years and over,Total,Male,Male_ Under 5 years,Male_ 5 to 9 years,Male_ 10 to 14 years,Male_ 15 to 17 years,Male_ 18 and 19 years,Male_ 20 to 24 years,Male_ 25 to 29 years,Male_ 30 to 34 years,Male_ 35 to 44 years,Male_ 45 to 54 years,Male_ 55 to 64 years,Male_ 65 to 74 years,Male_ 75 to 84 years,Male_ 85 years and over,Female,Female_ Under 5 years,Female_ 5 to 9 years,Female_ 10 to 14 years,Female_ 15 to 17 years,Female_ 18 and 19 years,Female_ 20 to 24 years,Female_ 25 to 29 years,Female_ 30 to 34 years,Female_ 35 to 44 years,Female_ 45 to 54 years,Female_ 55 to 64 years,Female_ 65 to 74 years,Female_ 75 to 84 years,Female_ 85 years and over,Total,Male,Male_ Under 5 years,Male_ 5 to 9 years,Male_ 10 to 14 years,Male_ 15 to 17 years,Male_ 18 and 19 years,Male_ 20 to 24 years,Male_ 25 to 29 years,Male_ 30 to 34 years,Male_ 35 to 44 years,Male_ 45 to 54 years,Male_ 55 to 64 years,Male_ 65 to 74 years,Male_ 75 to 84 years,Male_ 85 years and over,Female,Female_ Under 5 years,Female_ 5 to 9 years,Female_ 10 to 14 years,Female_ 15 to 17 years,Female_ 18 and 19 years,Female_ 20 to 24 years,Female_ 25 to 29 years,Female_ 30 to 34 years,Female_ 35 to 44 years,Female_ 45 to 54 years,Female_ 55 to 64 years,Female_ 65 to 74 years,Female_ 75 to 84 years,Female_ 85 years and over,Total,Male,Male_ Under 5 years,Male_ 5 to 9 years,Male_ 10 to 14 years,Male_ 15 to 17 years,Male_ 18 and 19 years,Male_ 20 to 24 years,Male_ 25 to 29 years,Male_ 30 to 34 years,Male_ 35 to 44 years,Male_ 45 to 54 years,Male_ 55 to 64 years,Male_ 65 to 74 years,Male_ 75 to 84 years,Male_ 85 years and over,Female,Female_ Under 5 years,Female_ 5 to 9 years,Female_ 10 to 14 years,Female_ 15 to 17 years,Female_ 18 and 19 years,Female_ 20 to 24 years,Female_ 25 to 29 years,Female_ 30 to 34 years,Female_ 35 to 44 years,Female_ 45 to 54 years,Female_ 55 to 64 years,Female_ 65 to 74 years,Female_ 75 to 84 years,Female_ 85 years and over,Total,Male,Male_ Under 5 years,Male_ 5 to 9 years,Male_ 10 to 14 years,Male_ 15 to 17 years,Male_ 18 and 19 years,Male_ 20 to 24 years,Male_ 25 to 29 years,Male_ 30 to 34 years,Male_ 35 to 44 years,Male_ 45 to 54 years,Male_ 55 to 64 years,Male_ 65 to 74 years,Male_ 75 to 84 years,Male_ 85 years and over,Female,Female_ Under 5 years,Female_ 5 to 9 years,Female_ 10 to 14 years,Female_ 15 to 17 years,Female_ 18 and 19 years,Female_ 20 to 24 years,Female_ 25 to 29 years,Female_ 30 to 34 years,Female_ 35 to 44 years,Female_ 45 to 54 years,Female_ 55 to 64 years,Female_ 65 to 74 years,Female_ 75 to 84 years,Female_ 85 years and over,Total,Male,Male_ Under 5 years,Male_ 5 to 9 years,Male_ 10 to 14 years,Male_ 15 to 17 years,Male_ 18 and 19 years,Male_ 20 to 24 years,Male_ 25 to 29 years,Male_ 30 to 34 years,Male_ 35 to 44 years,Male_ 45 to 54 years,Male_ 55 to 64 years,Male_ 65 to 74 years,Male_ 75 to 84 years,Male_ 85 years and over,Female,Female_ Under 5 years,Female_ 5 to 9 years,Female_ 10 to 14 years,Female_ 15 to 17 years,Female_ 18 and 19 years,Female_ 20 to 24 years,Female_ 25 to 29 years,Female_ 30 to 34 years,Female_ 35 to 44 years,Female_ 45 to 54 years,Female_ 55 to 64 years,Female_ 65 to 74 years,Female_ 75 to 84 years,Female_ 85 years and over,Total,Male,Male_ Under 5 years,Male_ 5 to 9 years,Male_ 10 to 14 years,Male_ 15 to 17 years,Male_ 18 and 19 years,Male_ 20 to 24 years,Male_ 25 to 29 years,Male_ 30 to 34 years,Male_ 35 to 44 years,Male_ 45 to 54 years,Male_ 55 to 64 years,Male_ 65 to 74 years,Male_ 75 to 84 years,Male_ 85 years and over,Female,Female_ Under 5 years,Female_ 5 to 9 years,Female_ 10 to 14 years,Female_ 15 to 17 years,Female_ 18 and 19 years,Female_ 20 to 24 years,Female_ 25 to 29 years,Female_ 30 to 34 years,Female_ 35 to 44 years,Female_ 45 to 54 years,Female_ 55 to 64 years,Female_ 65 to 74 years,Female_ 75 to 84 years,Female_ 85 years and over,Total,Male,Male_ Under 5 years,Male_ Under 5 years_ With a disability,Male_ Under 5 years_ No disability,Male_ 5 to 17 years,Male_ 5 to 17 years_ With a disability,Male_ 5 to 17 years_ No disability,Male_ 18 to 34 years,Male_ 18 to 34 years_ With a disability,Male_ 18 to 34 years_ No disability,Male_ 35 to 64 years,Male_ 35 to 64 years_ With a disability,Male_ 35 to 64 years_ No disability,Male_ 65 to 74 years,Male_ 65 to 74 years_ With a disability,Male_ 65 to 74 years_ No disability,Male_ 75 years and over,Male_ 75 years and over_ With a disability,Male_ 75 years and over_ No disability,Female,Female_ Under 5 years,Female_ Under 5 years_ With a disability,Female_ Under 5 years_ No disability,Female_ 5 to 17 years,Female_ 5 to 17 years_ With a disability,Female_ 5 to 17 years_ No disability,Female_ 18 to 34 years,Female_ 18 to 34 years_ With a disability,Female_ 18 to 34 years_ No disability,Female_ 35 to 64 years,Female_ 35 to 64 years_ With a disability,Female_ 35 to 64 years_ No disability,Female_ 65 to 74 years,Female_ 65 to 74 years_ With a disability,Female_ 65 to 74 years_ No disability,Female_ 75 years and over,Female_ 75 years and over_ With a disability,Female_ 75 years and over_ No disability
Alabama,Autauga,42437,20890,1384,1420,1285,929,483,1209,1245,1339,2807,3094,2673,1805,903,314,21547,1068,1583,1243,926,420,1176,1434,1272,2727,3169,2750,2117,1261,401,10565,5026,372,534,287,295,162,334,393,337,677,639,561,275,127,33,5539,328,298,435,226,138,370,381,383,857,788,673,411,184,67,159,59,16,0,4,0,0,0,0,0,5,34,0,0,0,0,100,15,5,0,32,0,9,0,0,20,17,0,2,0,0,568,234,0,0,30,3,0,106,0,0,44,32,19,0,0,0,334,5,17,50,12,0,28,6,31,99,0,41,45,0,0,32,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,27,0,0,41412,20272,1160,1420,1285,917,483,1173,1245,1217,2652,3080,2618,1805,903,314,21140,1068,1415,1243,926,420,1176,1277,1272,2727,3106,2731,2117,1261,401,1528,824,224,0,52,37,18,38,54,135,155,30,78,3,0,0,704,0,220,0,0,0,0,251,12,11,111,50,49,0,0,54277,26159,1789,0,1789,5031,704,4327,5565,493,5072,10307,2059,8248,2075,904,1171,1392,775,617,28118,1474,0,1474,5075,501,4574,5830,553,5277,11292,2240,9052,2622,1086,1536,1825,1150,675
Alabama,Baldwin,179526,87836,4853,4733,6159,3371,1790,4510,4835,4921,10534,12100,12387,10796,5455,1392,91690,4710,5047,5055,3203,1739,4227,5003,4977,10975,12646,13936,11972,5960,2240,19764,9429,707,542,1077,460,403,647,804,660,1093,1091,1071,601,224,49,10335,795,695,852,468,391,721,637,650,1400,1260,1297,698,320,151,1522,785,0,8,9,81,70,94,39,12,115,61,144,87,53,12,737,0,44,50,15,0,136,0,7,187,134,96,51,17,0,1680,554,0,47,0,81,0,0,14,26,130,177,12,47,12,8,1126,88,64,105,22,55,38,0,0,243,312,28,83,88,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,9,0,0,0,0,0,172768,83967,4397,4395,5696,3225,1699,4245,4496,4568,10100,11618,12085,10616,5435,1392,88801,4246,4793,4871,3100,1585,4200,4808,4747,10607,12255,13655,11813,5898,2223,9353,4849,555,436,561,160,106,282,467,426,681,624,322,209,20,0,4504,543,417,510,285,162,217,322,341,665,476,310,174,62,20,205452,99053,5855,55,5800,17187,1033,16154,18591,1451,17140,38888,5431,33457,11597,3424,8173,6935,3356,3579,106399,5754,70,5684,16795,509,16286,19356,1249,18107,43030,5300,37730,12815,3078,9737,8649,3907,4742
Alabama,Barbour,12216,6459,252,251,322,210,103,356,452,413,890,951,916,829,451,63,5757,232,294,340,179,84,246,265,282,557,747,906,927,489,209,12266,6478,335,379,500,264,145,551,642,600,862,832,722,449,151,46,5788,335,428,403,245,134,410,376,383,635,770,722,582,261,104,72,72,0,0,0,0,0,0,0,0,38,25,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,43,3,0,0,0,0,0,0,0,3,13,19,5,0,0,53,3,0,0,0,0,2,5,0,8,29,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11898,6267,232,251,290,189,103,356,429,389,853,932,906,823,451,63,5631,228,259,314,179,84,242,265,275,521,747,906,913,489,209,1106,667,99,41,85,21,0,26,80,119,95,47,37,17,0,0,439,44,101,37,10,31,38,37,37,39,33,12,20,0,0,22882,10924,717,12,705,2057,238,1819,2426,190,2236,3830,844,2986,1203,448,755,691,503,188,11958,673,0,673,1989,218,1771,2328,330,1998,4420,1090,3330,1512,461,1051,1036,744,292
Alabama,Bibb,17268,8782,493,600,463,350,209,513,557,583,1174,1359,1136,864,406,75,8486,498,391,538,305,153,494,559,470,1029,1218,1152,926,474,279,5018,3197,199,42,223,180,235,172,334,412,403,493,232,240,0,32,1821,85,130,61,71,0,304,99,53,212,334,177,55,199,41,8,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,16,0,0,0,0,0,0,0,0,0,0,0,16,0,0,21,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16801,8564,455,600,458,350,177,487,549,549,1158,1342,1116,850,403,70,8237,463,367,533,305,153,451,516,470,1024,1174,1124,926,452,279,547,285,38,0,5,13,32,26,16,34,25,36,38,14,3,5,262,35,24,18,0,0,43,43,0,5,44,28,0,22,0,20468,10193,692,8,684,1844,122,1722,2249,156,2093,3837,619,3218,1058,309,749,513,322,191,10275,583,0,583,1502,57,1445,2132,287,1845,4122,756,3366,988,224,764,948,552,396
Alabama,Blount,55054,27137,1620,1543,2022,1183,697,1581,1618,1622,3417,3865,3527,2787,1280,375,27917,1503,1846,1795,1110,531,1517,1657,1579,3471,3809,3635,3165,1847,452,862,474,64,13,32,0,44,40,0,10,62,88,68,38,12,3,388,22,50,0,0,0,1,5,1,50,96,56,50,43,14,141,24,0,0,0,0,0,2,0,0,0,0,8,1,0,13,117,4,0,0,0,0,3,0,22,17,0,51,20,0,0,198,89,0,34,0,0,5,7,13,10,15,2,0,3,0,0,109,0,0,28,0,0,0,26,17,8,3,0,7,11,9,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,18,0,0,0,50232,24624,1364,1327,1680,1052,563,1438,1439,1368,3032,3608,3443,2662,1273,375,25608,1234,1567,1454,977,465,1337,1505,1416,3129,3594,3561,3096,1822,451,5261,2791,285,240,362,136,134,166,217,254,421,303,137,129,7,0,2470,273,284,344,164,73,190,152,175,375,230,115,69,25,1,57169,28175,1813,7,1806,5026,215,4811,5748,249,5499,11154,1915,9239,2784,1063,1721,1650,764,886,28994,1672,0,1672,4957,114,4843,5524,252,5272,11286,1730,9556,3255,886,2369,2300,919,1381
Alabama,Bullock,2276,1444,47,14,28,79,23,208,95,13,184,255,234,180,79,5,832,0,0,65,9,38,21,10,28,109,109,150,147,102,44,7893,4138,270,344,219,100,249,223,331,273,727,485,496,328,93,0,3755,265,257,228,157,82,254,266,104,579,429,519,333,156,126,122,78,0,0,0,32,0,0,0,0,0,0,46,0,0,0,44,0,0,0,0,0,0,0,0,0,44,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,14,19,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2228,1444,47,14,28,79,23,208,95,13,184,255,234,180,79,5,784,0,0,65,9,38,21,10,28,77,93,150,147,102,44,51,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,32,16,0,0,0,0,9978,5365,317,0,317,819,77,742,1301,81,1220,2271,369,1902,485,204,281,172,75,97,4613,279,0,279,735,48,687,803,69,734,1941,280,1661,468,108,360,387,130,257
Alabama,Butler,10414,4940,260,320,288,164,96,261,254,245,553,633,825,648,263,130,5474,245,239,284,169,113,213,265,285,603,703,884,700,556,215,9055,4089,308,341,370,243,134,293,281,263,459,429,476,324,95,73,4966,287,368,257,199,155,306,359,357,671,622,629,386,236,134,2,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,186,0,0,37,0,0,0,52,14,83,0,0,0,0,0,45,10,0,0,0,0,0,7,15,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10384,4940,260,320,288,164,96,261,254,245,553,633,825,648,263,130,5444,245,239,284,169,113,213,265,285,581,703,876,700,556,215,67,22,0,0,0,0,0,0,0,22,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,22,0,14,9,0,0,19734,9229,595,0,595,1806,113,1693,1868,155,1713,3439,735,2704,968,323,645,553,339,214,10505,610,12,598,1555,55,1500,2059,118,1941,4130,819,3311,1092,226,866,1059,597,462
Alabama,Calhoun,85558,41483,2183,2334,2676,1665,996,2533,2810,2506,5148,5732,5902,4387,2076,535,44075,2184,2329,2320,1575,905,2528,2948,2581,5133,5797,6422,5212,2889,1252,23676,10953,774,756,823,536,465,1044,849,705,1307,1269,1380,731,246,68,12723,766,711,852,522,467,1141,1021,822,1567,1612,1691,871,491,189,353,147,0,0,22,22,0,0,0,13,9,4,33,44,0,0,206,29,29,0,0,29,0,0,16,36,35,32,0,0,0,1065,379,17,32,38,13,0,22,76,0,14,109,0,48,10,0,686,16,47,47,23,34,27,21,30,183,84,64,38,72,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,9,0,0,0,83423,40409,2059,2133,2605,1614,939,2483,2773,2411,4964,5641,5857,4361,2034,535,43014,2001,2237,2130,1517,893,2518,2856,2475,5012,5718,6359,5168,2878,1252,4203,2176,156,354,142,161,129,167,129,205,311,211,118,51,42,0,2027,309,186,271,68,64,138,148,171,276,169,125,53,49,0,113561,54333,3198,67,3131,9522,1253,8269,12208,1105,11103,21316,5625,15691,5215,2128,3087,2874,1513,1361,59228,3364,0,3364,8981,543,8438,12972,1161,11811,23064,5143,17921,6108,2156,3952,4739,2904,1835
Alabama,Chambers,19483,9466,507,517,463,342,186,639,576,495,1106,1309,1390,1194,600,142,10017,539,357,557,301,161,540,544,502,1129,1337,1557,1387,803,303,13319,6154,433,370,465,285,193,724,156,355,741,856,868,482,167,59,7165,415,407,465,250,163,538,506,419,885,959,989,654,329,186,97,64,0,0,0,0,0,0,0,17,9,11,0,0,15,12,33,0,0,0,0,0,0,0,0,0,33,0,0,0,0,405,242,0,0,0,0,0,25,27,20,47,68,22,33,0,0,163,0,30,0,0,8,19,10,13,56,5,17,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18872,9128,479,502,452,342,186,526,576,456,1002,1309,1362,1194,600,142,9744,465,351,557,301,161,507,540,484,1057,1337,1529,1349,803,303,768,495,51,43,53,0,0,129,0,39,104,48,28,0,0,0,273,74,6,0,0,0,33,4,18,72,0,28,38,0,0,33433,16103,978,0,978,2595,80,2515,3426,246,3180,6435,1225,5210,1686,601,1085,983,422,561,17330,972,0,972,2461,57,2404,3415,194,3221,6940,1398,5542,2042,632,1410,1500,715,785
Alabama,Cherokee,23997,11871,583,604,720,469,237,644,670,500,1359,1761,1835,1584,780,125,12126,511,748,600,457,210,581,665,583,1374,1644,1873,1696,835,349,1267,643,38,33,74,7,16,74,35,9,62,95,93,52,55,0,624,9,50,37,63,41,26,32,0,72,78,98,84,29,5,236,121,49,0,0,48,0,3,0,0,0,0,16,0,5,0,115,0,0,52,48,0,0,0,0,0,2,13,0,0,0,55,23,0,10,0,0,0,0,13,0,0,0,0,0,0,0,32,0,15,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23730,11770,566,604,720,453,237,644,648,500,1343,1748,1818,1584,780,125,11960,511,673,579,440,210,581,638,578,1357,1644,1873,1692,835,349,398,164,17,0,0,16,0,0,35,0,66,13,17,0,0,0,234,0,75,37,17,0,0,27,5,17,37,3,4,12,0,25587,12700,670,0,670,1983,220,1763,2262,380,1882,5210,932,4278,1637,597,1040,938,411,527,12887,534,3,531,2099,106,1993,2130,223,1907,5239,1076,4163,1752,536,1216,1133,626,507
