state,county,Total,Male_Under_1_years_White,Male_1_to_9_years_White,Male_10_to_14_years_White,Male_15_to_17_years_White,Male_18_and_19_years_White,Male_20_to_24_years_White,Male_25_to_29_years_White,Male_30_to_34_years_White,Male_35_to_44_years_White,Male_45_to_54_years_White,Male_55_to_64_years_White,Male_65_to_74_years_White,Male_75_to_84_years_White,Male_85_years_and_over_White,Female_White,Female_Under_1_years_White,Female_1_to_9_years_White,Female_10_to_14_years_White,Female_15_to_17_years_White,Female_18_and_19_years_White,Female_20_to_24_years_White,Female_25_to_29_years_White,Female_30_to_34_years_White,Female_35_to_44_years_White,Female_45_to_54_years_White,Female_55_to_64_years_White,Female_65_to_74_years_White,Female_75_to_84_years_White,Female_85_years_and_over_White,Male_Under_1_years_Black,Male_1_to_9_years_Black,Male_10_to_14_years_Black,Male_15_to_17_years_Black,Male_18_and_19_years_Black,Male_20_to_24_years_Black,Male_25_to_29_years_Black,Male_30_to_34_years_Black,Male_35_to_44_years_Black,Male_45_to_54_years_Black,Male_55_to_64_years_Black,Male_65_to_74_years_Black,Male_75_to_84_years_Black,Male_85_years_and_over_Black,Female_Black,Female_Under_1_years_Black,Female_1_to_9_years_Black,Female_10_to_14_years_Black,Female_15_to_17_years_Black,Female_18_and_19_years_Black,Female_20_to_24_years_Black,Female_25_to_29_years_Black,Female_30_to_34_years_Black,Female_35_to_44_years_Black,Female_45_to_54_years_Black,Female_55_to_64_years_Black,Female_65_to_74_years_Black,Female_75_to_84_years_Black,Female_85_years_and_over_Black,Male_Under_1_years_Native,Male_1_to_9_years_Native,Male_10_to_14_years_Native,Male_15_to_17_years_Native,Male_18_and_19_years_Native,Male_20_to_24_years_Native,Male_25_to_29_years_Native,Male_30_to_34_years_Native,Male_35_to_44_years_Native,Male_45_to_54_years_Native,Male_55_to_64_years_Native,Male_65_to_74_years_Native,Male_75_to_84_years_Native,Male_85_years_and_over_Native,Female_Native,Female_Under_1_years_Native,Female_1_to_9_years_Native,Female_10_to_14_years_Native,Female_15_to_17_years_Native,Female_18_and_19_years_Native,Female_20_to_24_years_Native,Female_25_to_29_years_Native,Female_30_to_34_years_Native,Female_35_to_44_years_Native,Female_45_to_54_years_Native,Female_55_to_64_years_Native,Female_65_to_74_years_Native,Female_75_to_84_years_Native,Female_85_years_and_over_Native,Male_Under_1_years_Asian,Male_1_to_9_years_Asian,Male_10_to_14_years_Asian,Male_15_to_17_years_Asian,Male_18_and_19_years_Asian,Male_20_to_24_years_Asian,Male_25_to_29_years_Asian,Male_30_to_34_years_Asian,Male_35_to_44_years_Asian,Male_45_to_54_years_Asian,Male_55_to_64_years_Asian,Male_65_to_74_years_Asian,Male_75_to_84_years_Asian,Male_85_years_and_over_Asian,Female_Asian,Female_Under_1_years_Asian,Female_1_to_9_years_Asian,Female_10_to_14_years_Asian,Female_15_to_17_years_Asian,Female_18_and_19_years_Asian,Female_20_to_24_years_Asian,Female_25_to_29_years_Asian,Female_30_to_34_years_Asian,Female_35_to_44_years_Asian,Female_45_to_54_years_Asian,Female_55_to_64_years_Asian,Female_65_to_74_years_Asian,Female_75_to_84_years_Asian,Female_85_years_and_over_Asian,Male_Under_1_years_PI,Male_1_to_9_years_PI,Male_10_to_14_years_PI,Male_15_to_17_years_PI,Male_18_and_19_years_PI,Male_20_to_24_years_PI,Male_25_to_29_years_PI,Male_30_to_34_years_PI,Male_35_to_44_years_PI,Male_45_to_54_years_PI,Male_55_to_64_years_PI,Male_65_to_74_years_PI,Male_75_to_84_years_PI,Male_85_years_and_over_PI,Female_PI,Female_Under_1_years_PI,Female_1_to_9_years_PI,Female_10_to_14_years_PI,Female_15_to_17_years_PI,Female_18_and_19_years_PI,Female_20_to_24_years_PI,Female_25_to_29_years_PI,Female_30_to_34_years_PI,Female_35_to_44_years_PI,Female_45_to_54_years_PI,Female_55_to_64_years_PI,Female_65_to_74_years_PI,Female_75_to_84_years_PI,Female_85_years_and_over_PI,Male_Under_1_years_Hispanic,Male_1_to_9_years_Hispanic,Male_10_to_14_years_Hispanic,Male_15_to_17_years_Hispanic,Male_18_and_19_years_Hispanic,Male_20_to_24_years_Hispanic,Male_25_to_29_years_Hispanic,Male_30_to_34_years_Hispanic,Male_35_to_44_years_Hispanic,Male_45_to_54_years_Hispanic,Male_55_to_64_years_Hispanic,Male_65_to_74_years_Hispanic,Male_75_to_84_years_Hispanic,Male_85_years_and_over_Hispanic,Female_Hispanic,Female_Under_1_years_Hispanic,Female_1_to_9_years_Hispanic,Female_10_to_14_years_Hispanic,Female_15_to_17_years_Hispanic,Female_18_and_19_years_Hispanic,Female_20_to_24_years_Hispanic,Female_25_to_29_years_Hispanic,Female_30_to_34_years_Hispanic,Female_35_to_44_years_Hispanic,Female_45_to_54_years_Hispanic,Female_55_to_64_years_Hispanic,Female_65_to_74_years_Hispanic,Female_75_to_84_years_Hispanic,Female_85_years_and_over_Hispanic,Male_Under_1_years_With_a_disability,Male_to_17_years,Male_to_17_years_With_a_disability,Male_18_to_34_years_With_a_disability,Male_35_to_64_years_With_a_disability,Male_65_to_74_years_With_a_disability,Male_75_years_and_over_With_a_disability,Female_Under_1_years_With_a_disability,Female_to_17_years_With_a_disability,Female_18_to_34_years_With_a_disability,Female_35_to_64_years_With_a_disability,Female_65_to_74_years_With_a_disability,Female_75_years_and_over_With_a_disability
Alabama,Autauga,42437,1384,1420,1285,929,483,1209,1245,1339,2807,3094,2673,1805,903,314,21547,1068,1583,1243,926,420,1176,1434,1272,2727,3169,2750,2117,1261,401,372,534,287,295,162,334,393,337,677,639,561,275,127,33,5539,328,298,435,226,138,370,381,383,857,788,673,411,184,67,16,0,4,0,0,0,0,0,5,34,0,0,0,0,100,15,5,0,32,0,9,0,0,20,17,0,2,0,0,0,0,30,3,0,106,0,0,44,32,19,0,0,0,334,5,17,50,12,0,28,6,31,99,0,41,45,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,27,0,0,224,0,52,37,18,38,54,135,155,30,78,3,0,0,704,0,220,0,0,0,0,251,12,11,111,50,49,0,0,0,5031,704,493,2059,904,775,0,501,553,2240,1086,1150
Alabama,Baldwin,179526,4853,4733,6159,3371,1790,4510,4835,4921,10534,12100,12387,10796,5455,1392,91690,4710,5047,5055,3203,1739,4227,5003,4977,10975,12646,13936,11972,5960,2240,707,542,1077,460,403,647,804,660,1093,1091,1071,601,224,49,10335,795,695,852,468,391,721,637,650,1400,1260,1297,698,320,151,0,8,9,81,70,94,39,12,115,61,144,87,53,12,737,0,44,50,15,0,136,0,7,187,134,96,51,17,0,0,47,0,81,0,0,14,26,130,177,12,47,12,8,1126,88,64,105,22,55,38,0,0,243,312,28,83,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,9,0,0,0,0,0,555,436,561,160,106,282,467,426,681,624,322,209,20,0,4504,543,417,510,285,162,217,322,341,665,476,310,174,62,20,55,17187,1033,1451,5431,3424,3356,70,509,1249,5300,3078,3907
Alabama,Barbour,12216,252,251,322,210,103,356,452,413,890,951,916,829,451,63,5757,232,294,340,179,84,246,265,282,557,747,906,927,489,209,335,379,500,264,145,551,642,600,862,832,722,449,151,46,5788,335,428,403,245,134,410,376,383,635,770,722,582,261,104,0,0,0,0,0,0,0,0,38,25,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,13,19,5,0,0,53,3,0,0,0,0,2,5,0,8,29,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,99,41,85,21,0,26,80,119,95,47,37,17,0,0,439,44,101,37,10,31,38,37,37,39,33,12,20,0,0,12,2057,238,190,844,448,503,0,218,330,1090,461,744
Alabama,Bibb,17268,493,600,463,350,209,513,557,583,1174,1359,1136,864,406,75,8486,498,391,538,305,153,494,559,470,1029,1218,1152,926,474,279,199,42,223,180,235,172,334,412,403,493,232,240,0,32,1821,85,130,61,71,0,304,99,53,212,334,177,55,199,41,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,21,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,5,13,32,26,16,34,25,36,38,14,3,5,262,35,24,18,0,0,43,43,0,5,44,28,0,22,0,8,1844,122,156,619,309,322,0,57,287,756,224,552
Alabama,Blount,55054,1620,1543,2022,1183,697,1581,1618,1622,3417,3865,3527,2787,1280,375,27917,1503,1846,1795,1110,531,1517,1657,1579,3471,3809,3635,3165,1847,452,64,13,32,0,44,40,0,10,62,88,68,38,12,3,388,22,50,0,0,0,1,5,1,50,96,56,50,43,14,0,0,0,0,0,2,0,0,0,0,8,1,0,13,117,4,0,0,0,0,3,0,22,17,0,51,20,0,0,0,34,0,0,5,7,13,10,15,2,0,3,0,0,109,0,0,28,0,0,0,26,17,8,3,0,7,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,18,0,0,0,285,240,362,136,134,166,217,254,421,303,137,129,7,0,2470,273,284,344,164,73,190,152,175,375,230,115,69,25,1,7,5026,215,249,1915,1063,764,0,114,252,1730,886,919
Alabama,Bullock,2276,47,14,28,79,23,208,95,13,184,255,234,180,79,5,832,0,0,65,9,38,21,10,28,109,109,150,147,102,44,270,344,219,100,249,223,331,273,727,485,496,328,93,0,3755,265,257,228,157,82,254,266,104,579,429,519,333,156,126,0,0,0,32,0,0,0,0,0,0,46,0,0,0,44,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,14,19,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,32,16,0,0,0,0,0,819,77,81,369,204,75,0,48,69,280,108,130
Alabama,Butler,10414,260,320,288,164,96,261,254,245,553,633,825,648,263,130,5474,245,239,284,169,113,213,265,285,603,703,884,700,556,215,308,341,370,243,134,293,281,263,459,429,476,324,95,73,4966,287,368,257,199,155,306,359,357,671,622,629,386,236,134,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,52,14,83,0,0,0,0,0,45,10,0,0,0,0,0,7,15,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,22,0,14,9,0,0,0,1806,113,155,735,323,339,12,55,118,819,226,597
Alabama,Calhoun,85558,2183,2334,2676,1665,996,2533,2810,2506,5148,5732,5902,4387,2076,535,44075,2184,2329,2320,1575,905,2528,2948,2581,5133,5797,6422,5212,2889,1252,774,756,823,536,465,1044,849,705,1307,1269,1380,731,246,68,12723,766,711,852,522,467,1141,1021,822,1567,1612,1691,871,491,189,0,0,22,22,0,0,0,13,9,4,33,44,0,0,206,29,29,0,0,29,0,0,16,36,35,32,0,0,0,17,32,38,13,0,22,76,0,14,109,0,48,10,0,686,16,47,47,23,34,27,21,30,183,84,64,38,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,9,0,0,0,156,354,142,161,129,167,129,205,311,211,118,51,42,0,2027,309,186,271,68,64,138,148,171,276,169,125,53,49,0,67,9522,1253,1105,5625,2128,1513,0,543,1161,5143,2156,2904
Alabama,Chambers,19483,507,517,463,342,186,639,576,495,1106,1309,1390,1194,600,142,10017,539,357,557,301,161,540,544,502,1129,1337,1557,1387,803,303,433,370,465,285,193,724,156,355,741,856,868,482,167,59,7165,415,407,465,250,163,538,506,419,885,959,989,654,329,186,0,0,0,0,0,0,0,17,9,11,0,0,15,12,33,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,25,27,20,47,68,22,33,0,0,163,0,30,0,0,8,19,10,13,56,5,17,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,43,53,0,0,129,0,39,104,48,28,0,0,0,273,74,6,0,0,0,33,4,18,72,0,28,38,0,0,0,2595,80,246,1225,601,422,0,57,194,1398,632,715
Alabama,Cherokee,23997,583,604,720,469,237,644,670,500,1359,1761,1835,1584,780,125,12126,511,748,600,457,210,581,665,583,1374,1644,1873,1696,835,349,38,33,74,7,16,74,35,9,62,95,93,52,55,0,624,9,50,37,63,41,26,32,0,72,78,98,84,29,5,49,0,0,48,0,3,0,0,0,0,16,0,5,0,115,0,0,52,48,0,0,0,0,0,2,13,0,0,0,0,10,0,0,0,0,13,0,0,0,0,0,0,0,32,0,15,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,16,0,0,35,0,66,13,17,0,0,0,234,0,75,37,17,0,0,27,5,17,37,3,4,12,0,0,1983,220,380,932,597,411,3,106,223,1076,536,626
