state,county,Total,ar_Under_1_years_White,ar_1_to_9_years_White,ar_10_to_14_years_White,ar_15_to_17_years_White,ar_18_and_19_years_White,ar_20_to_24_years_White,ar_25_to_29_years_White,ar_30_to_34_years_White,ar_35_to_44_years_White,ar_45_to_54_years_White,ar_55_to_64_years_White,ar_65_to_74_years_White,ar_75_to_84_years_White,ar_85_years_and_over_White,ar_Under_1_years_Black,ar_1_to_9_years_Black,ar_10_to_14_years_Black,ar_15_to_17_years_Black,ar_18_and_19_years_Black,ar_20_to_24_years_Black,ar_25_to_29_years_Black,ar_30_to_34_years_Black,ar_35_to_44_years_Black,ar_45_to_54_years_Black,ar_55_to_64_years_Black,ar_65_to_74_years_Black,ar_75_to_84_years_Black,ar_85_years_and_over_Black,ar_Under_1_years_Native,ar_1_to_9_years_Native,ar_10_to_14_years_Native,ar_15_to_17_years_Native,ar_18_and_19_years_Native,ar_20_to_24_years_Native,ar_25_to_29_years_Native,ar_30_to_34_years_Native,ar_35_to_44_years_Native,ar_45_to_54_years_Native,ar_55_to_64_years_Native,ar_65_to_74_years_Native,ar_75_to_84_years_Native,ar_85_years_and_over_Native,ar_Under_1_years_Asian,ar_1_to_9_years_Asian,ar_10_to_14_years_Asian,ar_15_to_17_years_Asian,ar_18_and_19_years_Asian,ar_20_to_24_years_Asian,ar_25_to_29_years_Asian,ar_30_to_34_years_Asian,ar_35_to_44_years_Asian,ar_45_to_54_years_Asian,ar_55_to_64_years_Asian,ar_65_to_74_years_Asian,ar_75_to_84_years_Asian,ar_85_years_and_over_Asian,ar_Under_1_years_PI,ar_1_to_9_years_PI,ar_10_to_14_years_PI,ar_15_to_17_years_PI,ar_18_and_19_years_PI,ar_20_to_24_years_PI,ar_25_to_29_years_PI,ar_30_to_34_years_PI,ar_35_to_44_years_PI,ar_45_to_54_years_PI,ar_55_to_64_years_PI,ar_65_to_74_years_PI,ar_75_to_84_years_PI,ar_85_years_and_over_PI,ar_Under_1_years_Hispanic,ar_1_to_9_years_Hispanic,ar_10_to_14_years_Hispanic,ar_15_to_17_years_Hispanic,ar_18_and_19_years_Hispanic,ar_20_to_24_years_Hispanic,ar_25_to_29_years_Hispanic,ar_30_to_34_years_Hispanic,ar_35_to_44_years_Hispanic,ar_45_to_54_years_Hispanic,ar_55_to_64_years_Hispanic,ar_65_to_74_years_Hispanic,ar_75_to_84_years_Hispanic,ar_85_years_and_over_Hispanic,ar_Under_1_years_With_a_disability,ar_Under 5 years_ With a disability,ar_5 to 17 years_ With a disability,ar_18_to_34_years_With_a_disability,ar_35_to_64_years_With_a_disability,ar_65_to_74_years_With_a_disability,ar_75_years_and_over_With_a_disability
Alabama,Autauga,42437,1384,1420,1285,929,483,1209,1245,1339,2807,3094,2673,1805,903,314,372,534,287,295,162,334,393,337,677,639,561,275,127,33,16,0,4,0,0,0,0,0,5,34,0,0,0,0,0,0,30,3,0,106,0,0,44,32,19,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,224,0,52,37,18,38,54,135,155,30,78,3,0,0,0,0,704,493,2059,904,775
Alabama,Baldwin,179526,4853,4733,6159,3371,1790,4510,4835,4921,10534,12100,12387,10796,5455,1392,707,542,1077,460,403,647,804,660,1093,1091,1071,601,224,49,0,8,9,81,70,94,39,12,115,61,144,87,53,12,0,47,0,81,0,0,14,26,130,177,12,47,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,555,436,561,160,106,282,467,426,681,624,322,209,20,0,55,55,1033,1451,5431,3424,3356
Alabama,Barbour,12216,252,251,322,210,103,356,452,413,890,951,916,829,451,63,335,379,500,264,145,551,642,600,862,832,722,449,151,46,0,0,0,0,0,0,0,0,38,25,9,0,0,0,3,0,0,0,0,0,0,0,3,13,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,41,85,21,0,26,80,119,95,47,37,17,0,0,12,12,238,190,844,448,503
Alabama,Bibb,17268,493,600,463,350,209,513,557,583,1174,1359,1136,864,406,75,199,42,223,180,235,172,334,412,403,493,232,240,0,32,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,5,13,32,26,16,34,25,36,38,14,3,5,8,8,122,156,619,309,322
Alabama,Blount,55054,1620,1543,2022,1183,697,1581,1618,1622,3417,3865,3527,2787,1280,375,64,13,32,0,44,40,0,10,62,88,68,38,12,3,0,0,0,0,0,2,0,0,0,0,8,1,0,13,0,34,0,0,5,7,13,10,15,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285,240,362,136,134,166,217,254,421,303,137,129,7,0,7,7,215,249,1915,1063,764
Alabama,Bullock,2276,47,14,28,79,23,208,95,13,184,255,234,180,79,5,270,344,219,100,249,223,331,273,727,485,496,328,93,0,0,0,0,32,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,77,81,369,204,75
Alabama,Butler,10414,260,320,288,164,96,261,254,245,553,633,825,648,263,130,308,341,370,243,134,293,281,263,459,429,476,324,95,73,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,37,0,0,0,52,14,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,113,155,735,323,339
Alabama,Calhoun,85558,2183,2334,2676,1665,996,2533,2810,2506,5148,5732,5902,4387,2076,535,774,756,823,536,465,1044,849,705,1307,1269,1380,731,246,68,0,0,22,22,0,0,0,13,9,4,33,44,0,0,17,32,38,13,0,22,76,0,14,109,0,48,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,354,142,161,129,167,129,205,311,211,118,51,42,0,67,67,1253,1105,5625,2128,1513
Alabama,Chambers,19483,507,517,463,342,186,639,576,495,1106,1309,1390,1194,600,142,433,370,465,285,193,724,156,355,741,856,868,482,167,59,0,0,0,0,0,0,0,17,9,11,0,0,15,12,0,0,0,0,0,25,27,20,47,68,22,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,43,53,0,0,129,0,39,104,48,28,0,0,0,0,0,80,246,1225,601,422
Alabama,Cherokee,23997,583,604,720,469,237,644,670,500,1359,1761,1835,1584,780,125,38,33,74,7,16,74,35,9,62,95,93,52,55,0,49,0,0,48,0,3,0,0,0,0,16,0,5,0,0,10,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,16,0,0,35,0,66,13,17,0,0,0,0,0,220,380,932,597,411
