county,state,fips,pop_density,Median AQI in 2019,stay at home order,Mandatory Quarantine for Travelers,NonNoEssential Business Closures,Large Gatherings Ban,StateNoMandated School Closures,Bar/Restaurant Limits,Primary Election Postponement,Emergency Declaration,Male_Under 5 years,Male_5 to 9 years,Male_10 to 14 years,Male_15 to 17 years,Male_18 and 19 years,Male_20 to 24 years,Male_25 to 29 years,Male_30 to 34 years,Male_35 to 44 years,Male_45 to 54 years,Male_55 to 64 years,Male_65 to 74 years,Male_75 to 84 years,Male_85 years and over,Female_Under 5 years,Female_5 to 9 years,Female_10 to 14 years,Female_15 to 17 years,Female_18 and 19 years,Female_20 to 24 years,Female_25 to 29 years,Female_30 to 34 years,Female_35 to 44 years,Female_45 to 54 years,Female_55 to 64 years,Female_65 to 74 years,Female_75 to 84 years,Female_85 years and over,White alone,Black or African American alone,American Indian and Alaska tive alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Car truck or van,Car truck or van_Drove alone,Car truck or van_Carpooled,Car truck or van_Carpooled_In 2_person carpool,Car truck or van_Carpooled_In 3_person carpool,Car truck or van_Carpooled_In 4_person carpool,Car truck or van_Carpooled_In 5_ or 6_person carpool,Car truck or van_Carpooled_In 7_or_more_person carpool,Public transportation_excluding taxicab,Public transportation_excluding taxicab_Bus or trolley bus,Public transportation_excluding taxicab_Subway or elevated,Public transportation_excluding taxicab_Railroad,Public transportation_excluding taxicab_Ferryboat,Taxicab,Motorcycle,Bicycle,Walked,Other means,Worked at home,Family households,Family households_Married_couple family,Family households_Other family,Family households_Other family_Male householder no wife present,Family households_Other family_Female householder no husband present,Nonfamily households,Nonfamily households_Householder living alone,Nonfamily households_Householder not living alone
Mobile,Alabama,1097,335.8,42,Statewide,No,All NonNoEssential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes,2.861387683,2.628684468,3.149086014,1.824278292,1.103596024,3.054281,3.449096685,3.117484343,5.931264313,6.602697223,6.887112264,5.061602738,2.38900426,0.591402704,51.34902199,2.728004006,2.762888967,2.845792053,1.814838831,1.08676916,3.070287042,3.526664423,3.191768791,5.947680766,6.76398887,7.297933989,5.720723309,3.067824574,1.52385721,35.555481,0.702987,1.957512,0.014952,1.206775,38.672017,35.787237,2.88478,2.143448,0.434333,0.164714,0.05595,0.086336,0.193412,0.188106,0.005306,0,0,0.009405,0.024116,0.036174,0.467854,0.31761,1.782428,24.544505,16.405287,8.139218,1.574788,6.56443,13.036013,11.353184,1.682829
Baldwin,Alabama,1003,127.6,40,Statewide,No,All NonNoEssential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes,2.703229616,2.63638693,3.430700846,1.877722447,0.997070062,2.512170939,2.693203213,2.741107138,5.867673763,6.739970812,6.899836235,6.013613627,3.038557089,0.775375155,51.07338213,2.623575415,2.811291958,2.815748137,1.784142687,0.968661921,2.354533605,2.786782973,2.772300391,6.113320633,7.044105032,7.762663904,6.668671947,3.319853392,1.247730134,9.497038,0.731355,0.807277,0.004325,0.977382,40.287929,37.024704,3.263225,2.507845,0.507431,0.127338,0.104754,0.015857,0.039403,0.039403,0,0,0,0,0.062468,0.025468,0.305612,0.514159,2.694287,24.679131,19.9186,4.760532,1.163824,3.596707,13.100472,11.481113,1.619359
Choctaw,Alabama,1023,14.5,NA,Statewide,No,All NonNoEssential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes,1.79245283,2.843665768,3.20754717,2.021563342,1.41509434,2.102425876,2.237196765,2.250673854,5.660377358,6.67115903,6.92722372,6.334231806,3.71967655,1.051212938,51.76549865,2.843665768,1.994609164,2.938005391,1.886792453,1.253369272,2.264150943,2.493261456,2.452830189,6.064690027,6.92722372,7.223719677,7.035040431,4.123989218,2.264150943,42.753346,0.068834,0.099426,0,0.061185,30.026769,25.93499,4.091778,2.638623,0.573614,0.183556,0,0.695985,0,0,0,0,0,0,0,0.030593,0.458891,0.474187,0.581262,26.845124,17.76673,9.078394,1.674952,7.403442,14.072658,13.108987,0.96367100000000006
Clarke,Alabama,1025,20,NA,Statewide,No,All NonNoEssential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes,2.327019714,2.025512176,3.192887514,1.870892926,0.765365288,2.937765752,2.558948589,2.342481639,5.117897178,6.795516042,7.182064167,6.231155779,4.1669887900000004,0.517974488,51.96752996,2.643989177,2.551217627,2.984151527,2.040974101,0.981832238,2.736760727,2.643989177,2.473908002,5.720912254,6.764592192,7.429454967,6.780054117,4.221105528,1.994588326,45.815393,0.102514,0.504367,0,0,30.106204,27.256325,2.849879,1.95186,0.442859,0.270636,0.024603,0.159921,0.045106,0,0,0,0.045106,0,0,0.036905,0.200927,0.180424,0.30344,24.742691,18.42375,6.31894,1.742732,4.576209,13.630213,13.08074,0.549473
Marengo,Alabama,1091,20.6,NA,Statewide,No,All NonNoEssential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes,2.428006776,2.891022021,2.687747036,1.976284585,0.982495765,2.597402597,2.631281762,2.337662338,5.533596838,6.629023151,7.238848108,5.827216262,4.133258046,0.4743083,51.63184641,2.902315076,2.337662338,3.320158103,1.761716544,0.767927724,2.495765104,2.755505364,2.552230378,5.4432524,6.67419537,7.035573123,6.662902315,5.409373235,1.513269339,53.833555,0.26103,0,0,0.296857,30.765687,29.296755,1.468932,1.049237,0.240557,0.163783,0.015355,0,0,0,0,0,0,0,0,0,0.399222,0.624424,1.049237,21.230423,14.75586,6.474562,1.73508,4.739482,18.527997,17.785853,0.742144
Washington,Alabama,1129,16.2,NA,Statewide,No,All NonNoEssential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes,2.55384895,1.754067073,4.198854858,2.244842316,1.099700082,2.862855585,2.908297737,2.353903481,5.962010361,7.288921203,7.261655912,5.716622739,3.108243206,0.299918204,50.38625829,2.517495229,1.654094338,4.235208579,1.890393529,0.881577752,2.881032446,2.644733255,2.562937381,5.680269018,7.298009634,7.288921203,6.080159956,4.162501136,0.608924839,24.550862,7.372469,0.372529,0,0.030043,31.616896,27.404915,4.211981,3.220573,0.384546,0.594845,0.012017,0,0,0,0,0,0,0,0,0,0.072102,0.258367,0.769092,25.356006,18.974944,6.381061,1.249775,5.131286,10.737247,9.769873,0.967374
Conecuh,Alabama,1035,14.9,NA,Statewide,No,All NonNoEssential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes,2.213848328,2.888993563,1.789919925,1.852724133,1.444496781,2.07253886,2.637776731,2.527869367,4.490500864,6.939864971,8.666980688,7.128277595,3.689747213,1.475898885,50.1805621,2.794787251,4.003768252,0.737949443,0.95776417,1.444496781,1.507300989,2.417962003,2.323755692,5.197048202,6.280420788,8.180248077,7.56790705,4.726016643,2.041136756,47.71456,0.447499,0.143839,0,0.015982,29.718715,27.70497,2.013745,0.855042,0.639284,0.375579,0,0.143839,0.063928,0,0,0.063928,0,0,0,0.167812,0.263705,0.023973,0.735177,23.070161,14.527729,8.542432,1.174684,7.367748,13.480901,13.097331,0.38357
Escambia,Alabama,1053,40.5,NA,Statewide,No,All NonNoEssential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes,2.701883525,2.645594284,3.312405283,1.788265858,0.861658368,2.645594284,3.048278848,2.875081186,6.772028578,7.209352674,7.174713141,5.425416757,2.9703399,0.554232518,50.0151548,2.485386447,2.888071011,3.234466335,1.770946092,0.801039186,2.43775709,2.849101537,2.974669842,5.667893483,6.390993722,6.988525655,6.252435592,3.541892184,1.731976618,31.933133,3.849657,0.361659,0.192885,0.621517,31.678633,29.43099,2.247643,1.527004,0.573296,0.037505,0.109837,0,0,0,0,0,0,0,0,0.021432,0.136627,0.091084,0.216995,22.00225,15.567402,6.434848,1.267145,5.167703,13.970746,12.644664,1.326082
Monroe,Alabama,1099,21.4,NA,Statewide,No,All NonNoEssential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes,2.336211275,2.683257153,3.360419841,2.065346199,1.464364314,2.446250212,2.480108346,2.285424073,5.197223633,6.746233283,7.3302861010000004,6.356864737,2.801760623,1.218892839,51.22735737,2.725579821,3.038767564,2.497037413,1.955307263,0.93956323,2.649399018,2.27695954,2.539360081,5.552734044,6.907059421,7.770441849,6.534619942,3.326561706,2.51396648,41.497769,1.608405,0.557828,0,0.111566,27.919301,27.026776,0.892525,0.813499,0.018594,0.055783,0,0.004649,0.19524,0.027891,0,0,0.167348,0,0,0,0.079026,0.320751,0.999442,23.21495,16.609334,6.605615,1.217925,5.387691,14.666233,14.066568,0.599665
Dallas,Alabama,1047,41.7,NA,Statewide,No,All NonNoEssential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes,2.105356667,3.304610465,1.430221196,1.652305232,1.385804388,1.767788931,2.300790619,2.345207426,4.903615528,6.458203784,8.652394066,7.311006485,3.57999467,0.755085724,52.04761482,2.025406414,3.21577685,1.385804388,1.661188594,1.199253798,2.380740872,2.469574487,2.416274318,5.116816203,6.520387315,9.034378609,7.559740606,5.134582926,1.927689438,70.473906,0.024982,0.559594,0.057458,0.062455,33.398286,30.190612,3.207674,2.460716,0.572085,0.142397,0.012491,0.019986,0,0,0,0,0,0,0,0.084938,0.507132,0.45467,0.507132,26.390867,13.869944,12.520922,2.475705,10.045217,14.419546,12.99308,1.426466
