county,state,fips,pop_density
Mobile,Alabama,1097,335.8
Baldwin,Alabama,1003,127.6
Choctaw,Alabama,1023,14.5
Clarke,Alabama,1025,20
Marengo,Alabama,1091,20.6
Washington,Alabama,1129,16.2
Conecuh,Alabama,1035,14.9
Escambia,Alabama,1053,40.5
Monroe,Alabama,1099,21.4
Dallas,Alabama,1047,41.7
Wilcox,Alabama,1131,12.5
Autauga,Alabama,1001,93.2
Butler,Alabama,1013,26.5
Lowndes,Alabama,1085,14.6
Greene,Alabama,1063,13.1
Pickens,Alabama,1107,23.8
Sumter,Alabama,1119,14.6
Lamar,Alabama,1075,22.9
Marion,Alabama,1093,41.1
Bibb,Alabama,1007,36.6
Chilton,Alabama,1021,63.7
Hale,Alabama,1065,23.1
Perry,Alabama,1105,14.1
Shelby,Alabama,1117,265.2
Tuscaloosa,Alabama,1125,156.3
Blount,Alabama,1009,88.5
Cullman,Alabama,1043,110.9
Fayette,Alabama,1057,27.2
Jefferson,Alabama,1073,601
Walker,Alabama,1127,82
Coffee,Alabama,1031,76.5
Covington,Alabama,1039,36.5
Dale,Alabama,1045,89.5
Geneva,Alabama,1061,46.8
Henry,Alabama,1067,30.9
Houston,Alabama,1069,182.8
Crenshaw,Alabama,1041,23.2
Montgomery,Alabama,1101,291.5
Pike,Alabama,1109,49.7
Barbour,Alabama,1005,29.9
Bullock,Alabama,1011,17.3
Macon,Alabama,1087,32.9
Russell,Alabama,1113,93.2
Chambers,Alabama,1017,56.8
Clay,Alabama,1027,23.3
Coosa,Alabama,1037,16.3
Elmore,Alabama,1051,126
Lee,Alabama,1081,260.4
Randolph,Alabama,1111,39.1
Tallapoosa,Alabama,1123,53.4
Calhoun,Alabama,1015,192.1
Cleburne,Alabama,1029,27
Etowah,Alabama,1055,188.2
St. Clair,Alabama,1115,134.2
Talladega,Alabama,1121,108.1
Franklin,Alabama,1059,49.1
Colbert,Alabama,1033,88.9
Lauderdale,Alabama,1077,129.8
Lawrence,Alabama,1079,46.7
Limestone,Alabama,1083,151.4
Madison,Alabama,1089,447.5
Morgan,Alabama,1103,200.6
Winston,Alabama,1133,38.5
Cherokee,Alabama,1019,43.1
DeKalb,Alabama,1049,92.6
Jackson,Alabama,1071,47.4
Marshall,Alabama,1095,151.9
Aleutians East,Alaska,2013,0.4
Bethel,Alaska,2050,0.4
Kusilvak,Alaska,2158,0.4
Dillingham,Alaska,2070,0.3
Nome,Alaska,2180,0.4
Northwest Arctic,Alaska,2188,0.2
Bristol Bay,Alaska,2060,1.7
