state,county,fips,population,density,date,cases,case_per,deaths,death_per,SH1,SH2,SH3,SH4,SH5,SH6,SH7,SH8,AQI1,AR1,AR2,AR3,AR4,AR5,AR6,AR7,AR8,AR9,AR10,AR11,AR12,AR13,AR14,AR15,AR16,AR17,AR18,AR19,AR20,AR21,AR22,AR23,AR24,AR25,AR26,AR27,AR28,AR29,AR30,AR31,AR32,AR33,AR34,AR35,AR36,AR37,AR38,AR39,AR40,AR41,AR42,AR43,AR44,AR45,AR46,AR47,AR48,AR49,AR50,AR51,AR52,AR53,AR54,AR55,AR56,AR57,AR58,AR59,AR60,AR61,AR62,AR63,AR64,AR65,AR66,AR67,AR68,AR69,AR70,AR71,AR72,AR73,AR74,AR75,AR76,AR77,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,H1,H2,H3,H4,H5,H6
Alabama,Autauga,1001,55869,93,4/7/2020,12,0.02148,1,0.00179,Statewide,No,All NonNoEssential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes,0,6.52,6.69,6.06,4.38,2.28,5.7,5.87,6.31,13.23,14.58,12.6,8.51,4.26,1.48,1.75,2.52,1.35,1.39,0.76,1.57,1.85,1.59,3.19,3.01,2.64,1.3,0.6,0.16,0.08,0,0.02,0,0,0,0,0,0.02,0.16,0,0,0,0,0,0,0.14,0.01,0,0.5,0,0,0.21,0.15,0.09,0,0,0,1.06,0,0.25,0.17,0.08,0.18,0.25,0.64,0.73,0.14,0.37,0.01,0,0,0,0,3.32,2.32,9.7,4.26,3.65,42.11,38.29,3.82,3.12,0.49,0.11,0.08,0.02,0.08,0.03,0.28,0.5,1.22,21.72,5.75,1.39,4.36,9.61,1.18
Alabama,Baldwin,1003,223234,128,3/21/2020,2,0.00090,0,0.00000,Statewide,No,All NonNoEssential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes,40,5.41,5.27,6.86,3.76,1.99,5.02,5.39,5.48,11.74,13.48,13.8,12.03,6.08,1.55,0.79,0.6,1.2,0.51,0.45,0.72,0.9,0.74,1.22,1.22,1.19,0.67,0.25,0.05,0,0.01,0.01,0.09,0.08,0.1,0.04,0.01,0.13,0.07,0.16,0.1,0.06,0.01,0,0.05,0,0.09,0,0,0.02,0.03,0.14,0.2,0.01,0.05,0.01,0.01,0.62,0.49,0.62,0.18,0.12,0.31,0.52,0.47,0.76,0.7,0.36,0.23,0.02,0,0.06,0.06,1.15,1.62,6.05,3.81,3.74,40.29,37.02,3.26,2.51,0.51,0.13,0.1,0.02,0.06,0.03,0.31,0.51,2.69,19.92,4.76,1.16,3.6,11.48,1.62
Alabama,Barbour,1005,24686,30,,0,0.00000,0,0.00000,Statewide,No,All NonNoEssential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes,0,4.13,4.11,5.27,3.44,1.69,5.83,7.4,6.76,14.57,15.57,15,13.57,7.38,1.03,5.48,6.2,8.19,4.32,2.37,9.02,10.51,9.82,14.11,13.62,11.82,7.35,2.47,0.75,0,0,0,0,0,0,0,0,0.62,0.41,0.15,0,0,0,0.05,0,0,0,0,0,0,0,0.05,0.21,0.31,0.08,0,0,1.62,0.67,1.39,0.34,0,0.43,1.31,1.95,1.56,0.77,0.61,0.28,0,0,0.2,0.2,3.9,3.11,13.82,7.33,8.24,31.2,27.61,3.6,2.32,0.4,0.35,0.23,0.29,0.31,0,0.71,0.38,0.43,15.16,8.23,1.34,6.89,11.6,0.64
Alabama,Bibb,1007,22394,37,4/1/2020,3,0.01340,0,0.00000,Statewide,No,All NonNoEssential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes,0,5.71,6.95,5.36,4.05,2.42,5.94,6.45,6.75,13.6,15.74,13.16,10.01,4.7,0.87,2.3,0.49,2.58,2.08,2.72,1.99,3.87,4.77,4.67,5.71,2.69,2.78,0,0.37,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0.44,0,0.06,0.15,0.37,0.3,0.19,0.39,0.29,0.42,0.44,0.16,0.03,0.06,0.09,0.09,1.41,1.81,7.17,3.58,3.73,33.69,29.95,3.74,3.54,0.2,0,0,0,0.04,0,0.2,0.26,0.92,16.1,5.86,1.72,4.15,7.88,0.52
Alabama,Blount,1009,57826,89,3/26/2020,3,0.00225,0,0.00000,Statewide,No,All NonNoEssential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes,0,5.89,5.61,7.35,4.3,2.53,5.74,5.88,5.89,12.41,14.04,12.81,10.12,4.65,1.36,0.23,0.05,0.12,0,0.16,0.15,0,0.04,0.23,0.32,0.25,0.14,0.04,0.01,0,0,0,0,0,0.01,0,0,0,0,0.03,0,0,0.05,0,0.12,0,0,0.02,0.03,0.05,0.04,0.05,0.01,0,0.01,0,0,1.04,0.87,1.32,0.49,0.49,0.6,0.79,0.92,1.53,1.1,0.5,0.47,0.03,0,0.03,0.03,0.78,0.9,6.96,3.86,2.78,35.43,31.62,3.82,2.85,0.61,0.16,0.1,0.1,0.04,0,0.07,0.26,0.83,20.72,5.49,2.06,3.43,8.83,0.7
Alabama,Bullock,1011,10101,17,4/9/2020,4,0.03960,0,0.00000,Statewide,No,All NonNoEssential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes,0,4.13,1.23,2.46,6.94,2.02,18.28,8.35,1.14,16.17,22.41,20.56,15.82,6.94,0.44,23.73,30.23,19.24,8.79,21.88,19.6,29.09,23.99,63.88,42.62,43.59,28.82,8.17,0,0,0,0,2.81,0,0,0,0,0,0,4.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26,0,0,0,0,0,0,0,0,0,0,0,0,6.77,7.12,32.43,17.93,6.59,34.8,30.09,4.7,3.31,0.28,0,0,1.11,0,0,2.22,0,1.04,13.6,10.37,1.84,8.53,10.33,0.57
Alabama,Butler,1013,19448,27,,0,0.00000,0,0.00000,Statewide,No,All NonNoEssential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes,0,4.99,6.15,5.53,3.15,1.84,5.01,4.88,4.71,10.62,12.16,15.84,12.44,5.05,2.5,5.92,6.55,7.11,4.67,2.57,5.63,5.4,5.05,8.82,8.24,9.14,6.22,1.82,1.4,0,0,0,0,0,0,0,0,0,0.02,0.02,0,0,0,0,0,0.71,0,0,0,1,0.27,1.59,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0,0,0,0,0,0,0,0,2.17,2.98,14.12,6.2,6.51,37.37,32.52,4.84,3.89,0.67,0.18,0.1,0,0,0,0.36,0.46,0.61,14.91,7.21,1.02,6.19,10.22,1.16
Alabama,Calhoun,1015,113605,192,3/18/2020,1,0.00709,0,0.00000,Statewide,No,All NonNoEssential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes,0,5.1,5.46,6.26,3.89,2.33,5.92,6.57,5.86,12.03,13.4,13.8,10.26,4.85,1.25,1.81,1.77,1.92,1.25,1.09,2.44,1.98,1.65,3.06,2.97,3.23,1.71,0.58,0.16,0,0,0.05,0.05,0,0,0,0.03,0.02,0.01,0.08,0.1,0,0,0.04,0.07,0.09,0.03,0,0.05,0.18,0,0.03,0.25,0,0.11,0.02,0,0.36,0.83,0.33,0.38,0.3,0.39,0.3,0.48,0.73,0.49,0.28,0.12,0.1,0,0.16,0.16,2.93,2.58,13.15,4.97,3.54,38.65,34.74,3.91,2.93,0.49,0.3,0.07,0.13,0.07,0,0.51,0.34,1.25,18.68,8.11,1.71,6.4,10.48,1.85
Alabama,Chambers,1017,33254,57,,0,0.00000,0,0.00000,Statewide,No,All NonNoEssential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes,0,5.2,5.31,4.75,3.51,1.91,6.56,5.91,5.08,11.35,13.44,14.27,12.26,6.16,1.46,4.44,3.8,4.77,2.93,1.98,7.43,1.6,3.64,7.61,8.79,8.91,4.95,1.71,0.61,0,0,0,0,0,0,0,0.17,0.09,0.11,0,0,0.15,0.12,0,0,0,0,0,0.26,0.28,0.21,0.48,0.7,0.23,0.34,0,0,0.52,0.44,0.54,0,0,1.32,0,0.4,1.07,0.49,0.29,0,0,0,0,0,0.82,2.53,12.58,6.17,4.33,41.14,36.28,4.86,4.24,0.43,0.04,0,0.15,0,0,0.27,0.3,0.76,16.89,8.71,2.32,6.39,12.64,1.72
Alabama,Cherokee,1019,26196,43,,0,0.00000,0,0.00000,Statewide,No,All NonNoEssential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes,0,4.86,5.03,6,3.91,1.98,5.37,5.58,4.17,11.33,14.68,15.29,13.2,6.5,1.04,0.32,0.28,0.62,0.06,0.13,0.62,0.29,0.08,0.52,0.79,0.78,0.43,0.46,0,0.41,0,0,0.4,0,0.03,0,0,0,0,0.13,0,0.04,0,0,0.08,0,0,0,0,0.11,0,0,0,0,0,0,0,0.14,0,0,0.13,0,0,0.29,0,0.55,0.11,0.14,0,0,0,0,0,1.83,3.17,7.77,4.98,3.43,36.1,31.09,5.01,3.88,0.64,0.29,0.04,0.15,0,0,0.11,0.46,0.65,23.45,4.91,0.97,3.94,11.6,1.07
